paths,p_red_win,p_blue_win,p_ko_tko,p_sub,p_dec,mean_finish_round,mean_red_sig_att,mean_red_sig_landed,mean_red_td_att,mean_red_td_landed,mean_red_control_seconds,mean_red_ground_control_seconds,mean_red_clinch_control_seconds,mean_red_sub_att,mean_red_reversals,mean_red_knockdowns_scored,mean_red_distance_segments,mean_red_clinch_segments,mean_red_ground_segments,mean_red_distance_occupancy,mean_red_clinch_occupancy,mean_red_ground_occupancy,mean_blue_sig_att,mean_blue_sig_landed,mean_blue_td_att,mean_blue_td_landed,mean_blue_control_seconds,mean_blue_ground_control_seconds,mean_blue_clinch_control_seconds,mean_blue_sub_att,mean_blue_reversals,mean_blue_knockdowns_scored,mean_blue_distance_segments,mean_blue_clinch_segments,mean_blue_ground_segments,mean_blue_distance_occupancy,mean_blue_clinch_occupancy,mean_blue_ground_occupancy,td_success_rate,bout_id,event_date,red_name,blue_name,red_fighter_id,blue_fighter_id,red_age,blue_age,scheduled_rounds,actual_red_win,winner_correct,winner_brier
10,0.8,0.2,0.0,0.4,0.6,1.5,51.4,26.1,4.8,1.7,238.0,154.0,84.0,0.6,0.0,0.0,34.3,12.2,22.2,0.49927219796215433,0.17758369723435227,0.3231441048034935,72.3,36.8,1.7,0.4,106.0,68.0,38.0,0.1,0.2,0.1,34.3,12.2,22.2,0.49927219796215433,0.17758369723435227,0.3231441048034935,0.3230769230769231,4d607b6ddc77a34c,2020-03-07,Alex Oliveira,Max Griffin,57b10fca4f9c9a7a,b0d6a1d8ac3d563d,32.04106776180698,34.26967830253251,3,1,1,0.03999999999999998
10,0.7,0.3,0.1,0.2,0.7,1.6666666666666667,64.2,35.5,4.5,2.1,311.0,279.0,32.0,0.8,0.1,0.2,32.2,8.6,35.4,0.4225721784776903,0.11286089238845143,0.4645669291338582,65.0,34.0,2.5,0.8,129.0,75.0,54.0,0.1,0.0,0.0,32.2,8.6,35.4,0.4225721784776903,0.11286089238845143,0.4645669291338582,0.4142857142857143,891470d896b1de5a,2020-03-07,Beneil Dariush,Drakkar Klose,08af939f41b5a57b,7cbf7c78d3b34218,30.836413415468858,31.994524298425734,3,1,1,0.09000000000000002
10,0.8,0.2,0.5,0.1,0.4,1.5,131.5,66.4,0.5,0.2,41.0,18.0,23.0,0.3,0.1,0.5,53.8,5.8,18.6,0.6879795396419437,0.0741687979539642,0.23785166240409208,90.1,40.1,4.6,1.6,203.0,168.0,35.0,0.1,0.0,0.0,53.8,5.8,18.6,0.6879795396419437,0.0741687979539642,0.23785166240409208,0.35294117647058826,b46f2f007b622bce,2020-03-07,Israel Adesanya,Yoel Romero,1338e2c7480bdf9e,f77c68bb4be8516d,30.625598904859686,42.85284052019165,5,1,1,0.03999999999999998
10,0.0,1.0,0.6,0.0,0.4,1.0,48.0,22.7,2.5,0.8,104.0,80.0,24.0,0.2,0.0,0.2,28.6,3.1,13.8,0.6285714285714286,0.06813186813186814,0.30329670329670333,82.6,38.8,0.3,0.2,64.0,58.0,6.0,0.1,0.1,0.7,28.6,3.1,13.8,0.6285714285714286,0.06813186813186814,0.30329670329670333,0.35714285714285715,d66a8591af39ca7b,2020-03-07,Neil Magny,Li Jingliang,84b3e7d38f2d2ec5,e64b96c07d7ce999,32.59411362080767,31.964407939767284,3,1,0,1.0
10,0.4,0.6,0.3,0.2,0.5,2.0,43.6,24.7,3.3,1.5,199.0,103.0,96.0,0.2,0.0,0.1,23.0,24.3,21.0,0.3367496339677892,0.355783308931186,0.3074670571010249,45.9,26.9,2.5,1.1,253.0,107.0,146.0,0.2,0.1,0.5,23.0,24.3,21.0,0.3367496339677892,0.355783308931186,0.3074670571010249,0.4482758620689655,5bba49d88db7430f,2020-03-14,Johnny Walker,Nikita Krylov,c21f26bbde777573,1091d4d957141094,27.956194387405887,28.019164955509925,3,0,1,0.16000000000000003
10,0.5,0.5,0.0,0.5,0.5,1.6,48.1,25.0,6.7,3.2,281.0,271.0,10.0,0.9,0.1,0.3,25.5,1.3,40.1,0.3811659192825112,0.01943198804185351,0.5994020926756353,51.0,21.8,2.5,1.3,133.0,130.0,3.0,0.6,0.1,0.1,25.5,1.3,40.1,0.3811659192825112,0.01943198804185351,0.5994020926756353,0.48913043478260876,5cee1d8f1e43d6f5,2020-03-14,Demian Maia,Gilbert Burns,427b5953ac8e3a27,23024fdfc966410a,42.351813826146476,33.65092402464066,3,0,0,0.25
10,0.6,0.4,0.0,0.2,0.8,1.0,68.8,25.5,5.5,2.0,209.0,181.0,28.0,0.2,0.0,0.0,50.7,3.1,21.3,0.6750998668442076,0.04127829560585885,0.2836218375499334,114.4,23.5,1.2,0.3,35.0,32.0,3.0,0.1,0.2,0.1,50.7,3.1,21.3,0.6750998668442076,0.04127829560585885,0.2836218375499334,0.34328358208955223,b3c74554c871fbf8,2020-03-14,Jussier Formiga,Brandon Moreno,b102c26727306ab6,792be9a24df82ed6,34.91581108829569,26.26694045174538,3,0,0,0.36
10,1.0,0.0,0.3,0.0,0.7,1.3333333333333333,164.4,80.5,1.6,0.9,91.0,91.0,0.0,0.1,0.0,0.4,52.1,7.3,11.1,0.7390070921985816,0.10354609929078014,0.1574468085106383,87.5,35.7,1.2,0.3,93.0,20.0,73.0,0.1,0.0,0.2,52.1,7.3,11.1,0.7390070921985816,0.10354609929078014,0.1574468085106383,0.4285714285714286,c26a3f4c08333886,2020-03-14,Renato Moicano,Damir Hadzovic,b6452706b373eea1,38c626ca912c7bac,30.8145106091718,33.59890485968515,3,1,1,0.0
10,0.0,1.0,1.0,0.0,0.0,1.4,37.6,12.3,0.5,0.1,42.0,13.0,29.0,0.0,0.0,0.0,22.0,2.9,1.3,0.8396946564885497,0.11068702290076336,0.04961832061068703,71.5,44.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,22.0,2.9,1.3,0.8396946564885497,0.11068702290076336,0.04961832061068703,0.16666666666666669,dc45c8d70e256749,2020-03-14,Francisco Trinaldo,John Makdessi,a8283a4f415e1eb9,c21a036b4e012f1c,41.555099247091036,34.86379192334018,3,1,0,1.0
10,0.2,0.8,0.0,1.0,0.0,2.6,77.0,36.4,4.0,2.0,245.0,241.0,4.0,0.7,0.1,0.1,29.8,3.8,31.6,0.45705521472392635,0.05828220858895705,0.48466257668711654,39.8,24.0,2.9,1.2,109.0,75.0,34.0,1.4,0.0,0.0,29.8,3.8,31.6,0.45705521472392635,0.05828220858895705,0.48466257668711654,0.463768115942029,e0b323dae5bf4c90,2020-03-14,Kevin Lee,Charles Oliveira,ee9ebceabfd16fa7,07225ba28ae309b6,27.523613963039015,30.406570841889117,5,0,1,0.04000000000000001
10,0.5,0.5,0.9,0.0,0.1,1.7777777777777777,114.9,50.1,0.4,0.2,6.0,3.0,3.0,0.0,0.0,0.2,44.2,1.2,1.6,0.9404255319148936,0.02553191489361702,0.03404255319148936,115.8,60.8,0.3,0.2,21.0,13.0,8.0,0.1,0.0,0.2,44.2,1.2,1.6,0.9404255319148936,0.02553191489361702,0.03404255319148936,0.5714285714285715,02f5621f480ad1d4,2020-05-09,Jeremy Stephens,Calvin Kattar,18968f97ad34f15c,751de04455cfaac0,33.95756331279945,32.120465434633815,3,0,0,0.25
