period,analysis,market_p_bucket,edge_bucket,bets,wins,losses,win_rate,profit_units,roi,avg_market_p,avg_v5_p,avg_edge
2021_2024,market_x_edge,50-60%,7.5%+,21,14,7,0.6666666666666666,4.06764129843848,0.19369720468754667,0.5377497153890863,0.6390332780890601,0.10128356269997377
2021_2024,market_x_edge,60-70%,0-2%,157,105,52,0.6687898089171974,-1.766797010314705,-0.011253484142131879,0.6510944467307092,0.6611198356748185,0.010025388944109214
2021_2024,market_x_edge,60-70%,2-4%,98,59,39,0.6020408163265306,-9.560887074980993,-0.09756007219368361,0.6451226938990465,0.6746736456155508,0.029550951716504188
2021_2024,market_x_edge,60-70%,4-6%,69,49,20,0.7101449275362319,3.6733730575420402,0.053237290689015074,0.6495190641475391,0.6983076690374975,0.04878860488995818
2021_2024,market_x_edge,60-70%,6-7.5%,28,21,7,0.75,3.3312775751449344,0.11897419911231909,0.6487963908750286,0.7161746336241691,0.0673782427491407
2021_2024,market_x_edge,60-70%,7.5%+,17,9,8,0.5294117647058824,-3.8144898556884463,-0.22438175621696743,0.6592344045490722,0.7546416786697389,0.09540727412066652
2021_2024,market_x_edge,70-80%,0-2%,96,75,21,0.78125,0.11061557901832408,0.0011522456147742093,0.7475008528437357,0.7585029346180966,0.011002081774360862
2021_2024,market_x_edge,70-80%,2-4%,111,96,15,0.8648648648648649,12.562950275861024,0.11317973221496418,0.7470046313209228,0.7760293268236534,0.02902469550273086
2021_2024,market_x_edge,70-80%,4-6%,47,39,8,0.8297872340425532,3.432296259475235,0.07302757998883479,0.7426466733134993,0.7913993947784704,0.0487527214649711
2021_2024,market_x_edge,70-80%,6-7.5%,9,8,1,0.8888888888888888,1.4329920098858542,0.15922133443176156,0.7356570610332365,0.8029711624769593,0.06731410144372271
2021_2024,market_x_edge,70-80%,7.5%+,6,3,3,0.5,-1.9994347088750706,-0.3332391181458451,0.7213242589049687,0.8299561653403731,0.10863190643540445
2021_2024,market_x_edge,80%+,0-2%,49,41,8,0.8367346938775511,-2.3834046022858653,-0.048640910250731945,0.8433493101401727,0.8546044156647207,0.011255105524548161
2021_2024,market_x_edge,80%+,2-4%,39,36,3,0.9230769230769231,2.0504497533251484,0.05257563470064483,0.8411133855488242,0.8680941980071396,0.026980812458315462
2021_2024,market_x_edge,80%+,4-6%,4,4,0,1.0,0.663961038961039,0.16599025974025974,0.8220536434818725,0.8671209393782859,0.04506729589641342
2021_2024,market_x_edge,80%+,6-7.5%,0,0,0,,0.0,,,,
2021_2024,market_x_edge,80%+,7.5%+,0,0,0,,0.0,,,,
2021,market_probability,<30%,ALL,42,6,36,0.14285714285714285,-21.15,-0.5035714285714286,0.24992541346834804,0.2727195465155244,0.022794133047176333
2021,market_probability,30-40%,ALL,82,32,50,0.3902439024390244,5.999999999999999,0.07317073170731707,0.3512952100939773,0.3844984189609743,0.033203208866996944
2021,market_probability,40-50%,ALL,95,53,42,0.5578947368421052,19.97903191758477,0.21030559913247127,0.44361029174036193,0.47723559716139086,0.03362530542102897
2021,market_probability,50-60%,ALL,94,57,37,0.6063829787234043,4.743148090723104,0.05045902224173515,0.5508873438441829,0.5812958227663796,0.030408478922196752
2021,market_probability,60-70%,ALL,87,56,31,0.6436781609195402,-3.585218989222642,-0.041209413669225765,0.6485555266726086,0.6789571378729643,0.030401611200355574
2021,market_probability,70-80%,ALL,56,45,11,0.8035714285714286,1.9328246991066391,0.03451472676976141,0.7439142462794673,0.7724278304950741,0.028513584215606735
2021,market_probability,80%+,ALL,13,11,2,0.8461538461538461,-0.36016781305913903,-0.027705216389164542,0.8363289151941559,0.8520624871411306,0.015733571946974785
2021,market_x_edge,<30%,0-2%,23,3,20,0.13043478260869565,-12.450000000000001,-0.541304347826087,0.24183703447983848,0.2524852025148423,0.01064816803500386
2021,market_x_edge,<30%,2-4%,12,1,11,0.08333333333333333,-8.5,-0.7083333333333334,0.24559163873550652,0.2735894951963107,0.027997856460804115
2021,market_x_edge,<30%,4-6%,6,1,5,0.16666666666666666,-2.5,-0.4166666666666667,0.2829972689702696,0.33501381891475185,0.05201654994448222
2021,market_x_edge,<30%,6-7.5%,1,1,0,1.0,2.3,2.3,0.289532293986637,0.3539044399664114,0.06437214597977442
2021,market_x_edge,<30%,7.5%+,0,0,0,,0.0,,,,
2021,market_x_edge,30-40%,0-2%,33,12,21,0.36363636363636365,1.25,0.03787878787878788,0.3468832222165224,0.35688056816825253,0.009997345951730135
2021,market_x_edge,30-40%,2-4%,26,11,15,0.4230769230769231,3.62,0.13923076923076924,0.35360645002580804,0.3822132787605099,0.028606828734701953
2021,market_x_edge,30-40%,4-6%,10,3,7,0.3,-1.7700000000000002,-0.17700000000000002,0.35643859302989733,0.4019445625778837,0.04550596954798629
2021,market_x_edge,30-40%,6-7.5%,6,2,4,0.3333333333333333,-0.6499999999999999,-0.10833333333333332,0.3531745538806181,0.4192381948840349,0.06606364100341676
2021,market_x_edge,30-40%,7.5%+,7,4,3,0.5714285714285714,3.55,0.5071428571428571,0.3545514200438874,0.46848450891303617,0.11393308886914867
2021,market_x_edge,40-50%,0-2%,31,17,14,0.5483870967741935,6.359999999999999,0.20516129032258063,0.4395729486565895,0.45118447222069535,0.011611523564105967
2021,market_x_edge,40-50%,2-4%,34,17,17,0.5,2.615777178796047,0.07693462290576608,0.4439693147261973,0.4734439123837811,0.029474597657583854
2021,market_x_edge,40-50%,4-6%,18,10,8,0.5555555555555556,3.5999999999999996,0.19999999999999998,0.444826880339295,0.4939893632782918,0.049162482938996756
2021,market_x_edge,40-50%,6-7.5%,6,4,2,0.6666666666666666,2.58,0.43,0.449868615143107,0.5190091381867484,0.06914052304364147
2021,market_x_edge,40-50%,7.5%+,6,5,1,0.8333333333333334,4.8232547387887195,0.8038757897981199,0.4525273448872426,0.5412844503853801,0.08875710549813753
2021,market_x_edge,50-60%,0-2%,33,16,17,0.48484848484848486,-5.070549534013685,-0.15365301618223287,0.548888667695393,0.5606322243059069,0.011743556610513907
2021,market_x_edge,50-60%,2-4%,39,28,11,0.717948717948718,9.3960114611019,0.2409233707974846,0.5556298824792254,0.5849088940742615,0.029279011595036184
2021,market_x_edge,50-60%,4-6%,13,9,4,0.6923076923076923,2.588265739408757,0.1990973645699044,0.5463462327100815,0.595358196124477,0.04901196341439563
2021,market_x_edge,50-60%,6-7.5%,5,2,3,0.4,-1.5630573248407644,-0.3126114649681529,0.5334485398408718,0.6029773696952795,0.06952882985440764
2021,market_x_edge,50-60%,7.5%+,4,2,2,0.5,-0.6075222509331037,-0.15188056273327594,0.5576937865700036,0.6437384177384895,0.0860446311684859
2021,market_x_edge,60-70%,0-2%,37,23,14,0.6216216216216216,-2.8559860965792683,-0.0771888134210613,0.6506557873652169,0.661942286178033,0.01128649881281619
2021,market_x_edge,60-70%,2-4%,27,15,12,0.5555555555555556,-4.7783264908856635,-0.17697505521798754,0.652054115673187,0.6841990373197805,0.032144921646593785
2021,market_x_edge,60-70%,4-6%,14,11,3,0.7857142857142857,2.4637430841280668,0.17598164886629047,0.6390576517602218,0.6890436250431191,0.049985973282897375
2021,market_x_edge,60-70%,6-7.5%,5,5,0,1.0,2.7686838474475564,0.5537367694895112,0.6189419874562876,0.6845973172157673,0.06565532975947977
2021,market_x_edge,60-70%,7.5%+,4,2,2,0.5,-1.1833333333333336,-0.2958333333333334,0.6757721257258376,0.7586087655110232,0.08283663978518563
2021,market_x_edge,70-80%,0-2%,26,19,7,0.7307692307692307,-1.678846023451602,-0.0645710009019847,0.746439935921673,0.756713620754222,0.010273684832549056
2021,market_x_edge,70-80%,2-4%,15,14,1,0.9333333333333333,3.07314702776863,0.20487646851790867,0.7406204244716719,0.7690448893217308,0.028424464850058843
