fold,variant,feature,gain,weight,cover,gain_rank,used
2023,ko_specialist_no_ml,ewm_recent_finish_rate_diff,4.692585468292236,1.0,156.85385131835938,61,True
2023,ko_specialist_no_ml,ewm_recent_sapm_diff,0.0,0.0,0.0,87,False
2023,ko_specialist_no_ml,ewm_recent_splm_diff,4.50375509262085,4.0,154.27586364746094,64,True
2023,ko_specialist_no_ml,ewm_recent_td_avg_diff,6.377080917358398,4.0,155.58392333984375,28,True
2023,ko_specialist_no_ml,ewm_recent_win_pct_diff,0.0,0.0,0.0,88,False
2023,ko_specialist_no_ml,ewm_sapm_diff,0.0,0.0,0.0,89,False
2023,ko_specialist_no_ml,ewm_splm_diff,0.0,0.0,0.0,90,False
2023,ko_specialist_no_ml,ewm_str_acc_diff,0.0,0.0,0.0,91,False
2023,ko_specialist_no_ml,ewm_str_def_diff,0.0,0.0,0.0,92,False
2023,ko_specialist_no_ml,ewm_sub_avg_diff,5.7845869064331055,1.0,154.27943420410156,46,True
2023,ko_specialist_no_ml,ewm_sub_win_rate_diff,9.002082824707031,5.0,157.94964599609375,6,True
2023,ko_specialist_no_ml,ewm_td_acc_diff,5.409153461456299,1.0,150.71051025390625,48,True
2023,ko_specialist_no_ml,ewm_td_avg_diff,15.857948303222656,2.0,156.19650268554688,1,True
2023,ko_specialist_no_ml,ewm_td_def_diff,5.895534515380859,1.0,156.66688537597656,42,True
2023,ko_specialist_no_ml,ewm_win_pct_diff,0.0,0.0,0.0,93,False
2023,ko_specialist_no_ml,ewm_win_streak_diff,0.0,0.0,0.0,94,False
2023,ko_specialist_no_ml,ewm_wins_diff,5.671813488006592,1.0,150.58865356445312,47,True
2023,ko_specialist_no_ml,ewm_worst_loss_elo_diff,6.2427191734313965,7.0,155.457275390625,31,True
2023,ko_specialist_no_ml,experience_ratio_diff,5.92900276184082,9.0,155.5113525390625,40,True
2023,ko_specialist_no_ml,fights_diff,0.0,0.0,0.0,95,False
2023,ko_specialist_no_ml,finish_dependency_diff,0.0,0.0,0.0,96,False
2023,ko_specialist_no_ml,finish_loss_rate_diff,0.0,0.0,0.0,97,False
2023,ko_specialist_no_ml,finish_rate_diff,0.0,0.0,0.0,98,False
2023,ko_specialist_no_ml,height_diff,0.0,0.0,0.0,99,False
2023,ko_specialist_no_ml,kd_absorbed_avg_diff,7.492912292480469,13.0,156.60903930664062,16,True
2023,ko_specialist_no_ml,kd_avg_diff,5.248203754425049,4.0,154.31317138671875,51,True
2023,ko_specialist_no_ml,ko_dependency_diff,0.0,0.0,0.0,100,False
2023,ko_specialist_no_ml,ko_rate_diff,0.0,0.0,0.0,101,False
2023,ko_specialist_no_ml,ko_win_concentration_diff,5.932347774505615,8.0,155.91995239257812,39,True
2023,ko_specialist_no_ml,last_fight_ko_loss_diff,0.0,0.0,0.0,102,False
2023,ko_specialist_no_ml,loss_streak_diff,0.0,0.0,0.0,103,False
2023,ko_specialist_no_ml,losses_diff,4.841485500335693,1.0,153.57675170898438,58,True
2023,ko_specialist_no_ml,pressure_striking_adv_diff,0.0,0.0,0.0,104,False
2023,ko_specialist_no_ml,reach_diff,0.0,0.0,0.0,105,False
2023,ko_specialist_no_ml,recent_avg_fight_time_diff,5.824148654937744,8.0,155.922607421875,44,True
2023,ko_specialist_no_ml,recent_finish_rate_diff,0.0,0.0,0.0,106,False
