logit_threshold,price_edge_threshold,fold,bets,fight_coverage,hit_rate,mean_model_p,mean_raw_p,calibration_gap,mean_price_edge,mean_signed_logit_residual,mean_model_implied_ev_margin,cards,bets_per_card
0.3,0.05,2022,7,0.016166281755196306,0.2857142857142857,0.3454040608235768,0.28436246293389156,-0.05968977510929108,0.061041597889685266,0.5410490761163972,0.23778616530554633,6,1.1666666666666667
0.3,0.05,2023,8,0.020833333333333332,0.5,0.343880794942379,0.2878473437757856,0.156119205057621,0.05603345116659339,0.4898359245251177,0.21178306210786096,7,1.1428571428571428
0.3,0.05,2024,2,0.005934718100890208,0.5,0.4483374208211899,0.3869047619047619,0.05166257917881012,0.06143265891642796,0.5293395140199011,0.17502222277901391,2,1.0
0.3,0.075,2021,5,0.011111111111111112,0.0,0.3493227928876877,0.2632287472656055,-0.3493227928876877,0.08609404562208214,0.632250670446527,0.35145891696214665,5,1.0
0.3,0.075,2022,0,0.0,,,,,,,,0,
0.3,0.075,2023,0,0.0,,,,,,,,0,
0.3,0.075,2024,0,0.0,,,,,,,,0,
0.3,0.1,2021,0,0.0,,,,,,,,0,
0.3,0.1,2022,0,0.0,,,,,,,,0,
0.3,0.1,2023,0,0.0,,,,,,,,0,
0.3,0.1,2024,0,0.0,,,,,,,,0,
0.35,0.0,2021,105,0.23333333333333334,0.23809523809523808,0.3285230605375199,0.30055058715178473,-0.09042782244228181,0.02797247338573516,0.4417333481358239,0.10851250343061884,42,2.5
0.35,0.0,2022,79,0.18244803695150116,0.27848101265822783,0.31392504265414006,0.28970285227988474,-0.03544402999591223,0.024222190374255267,0.43040611090020775,0.10505386394311401,37,2.135135135135135
0.35,0.0,2023,74,0.19270833333333334,0.3108108108108108,0.3068976978192458,0.2775938627463977,0.003913112991564993,0.02930383507284811,0.42110646084432896,0.1308756382615715,35,2.1142857142857143
0.35,0.0,2024,60,0.17804154302670624,0.31666666666666665,0.3397524461150169,0.31656575980668317,-0.023085779448350274,0.023186686308333718,0.4152477624914549,0.09349703754375129,31,1.935483870967742
0.35,0.01,2021,94,0.2088888888888889,0.24468085106382978,0.31651483444457357,0.2859663805467687,-0.07183398338074379,0.030548453897804764,0.44830390159927236,0.11951591161827957,41,2.292682926829268
0.35,0.01,2022,67,0.15473441108545036,0.26865671641791045,0.29617144000619205,0.2688160292146692,-0.02751472358828161,0.02735541079152281,0.43946826813650347,0.12058214333717684,36,1.8611111111111112
0.35,0.01,2023,73,0.19010416666666666,0.3150684931506849,0.308047110903753,0.27835237837001653,0.00702138224693194,0.029694732533736428,0.4213392693957467,0.13262109300589436,35,2.085714285714286
0.35,0.01,2024,56,0.1661721068249258,0.30357142857142855,0.332231219591839,0.3078007937513093,-0.02865979102041044,0.024430425840529662,0.4166578535418578,0.09675858223534865,31,1.8064516129032258
0.35,0.02,2021,57,0.12666666666666668,0.24561403508771928,0.32980951300838535,0.289529530068893,-0.08419547792066606,0.040279982939492316,0.488680920592574,0.1543650830975898,36,1.5833333333333333
0.35,0.02,2022,39,0.09006928406466513,0.2564102564102564,0.30923202060736144,0.27297702940435925,-0.05282176419710505,0.03625499120300211,0.47969149037092407,0.15246035674019068,27,1.4444444444444444
0.35,0.02,2023,60,0.15625,0.35,0.31181130136052765,0.27929482204488987,0.03818869863947233,0.03251647931563775,0.42764032578276395,0.14364995287524315,33,1.8181818181818181
0.35,0.02,2024,32,0.09495548961424333,0.28125,0.3556808866560459,0.3250773844530508,-0.07443088665604591,0.030603502202995115,0.4368949621153968,0.1086028271446148,21,1.5238095238095237
0.35,0.03,2021,31,0.06888888888888889,0.1935483870967742,0.3412142304643508,0.2874477386171653,-0.1476658433675766,0.0537664918471855,0.5485851947130167,0.2051816974820628,23,1.3478260869565217
0.35,0.03,2022,24,0.05542725173210162,0.125,0.31670414594312507,0.2732020911388234,-0.19170414594312507,0.043502054804301665,0.5128369104224363,0.18297210024600766,19,1.263157894736842
0.35,0.03,2023,29,0.07552083333333333,0.41379310344827586,0.3295213783095623,0.28765840008044324,0.08427172513871356,0.04186297822911902,0.44703772969239447,0.16834011375904076,20,1.45
0.35,0.03,2024,12,0.03560830860534125,0.3333333333333333,0.4028990219036738,0.3612866082205705,-0.06956568857034051,0.0416124136831033,0.4819471006888827,0.12882068652019948,11,1.0909090909090908
0.35,0.05,2021,15,0.03333333333333333,0.26666666666666666,0.3683539003133774,0.29747991337657814,-0.10168723364671073,0.07087398693679917,0.610154195737462,0.26022405068079624,13,1.1538461538461537
0.35,0.05,2022,6,0.013856812933025405,0.16666666666666666,0.3678179557124774,0.30611518111518116,-0.20115128904581073,0.06170277459729623,0.5802007982725851,0.2155864437421163,5,1.2
0.35,0.05,2023,8,0.020833333333333332,0.5,0.343880794942379,0.2878473437757856,0.156119205057621,0.05603345116659339,0.4898359245251177,0.21178306210786096,7,1.1428571428571428
0.35,0.05,2024,2,0.005934718100890208,0.5,0.4483374208211899,0.3869047619047619,0.05166257917881012,0.06143265891642796,0.5293395140199011,0.17502222277901391,2,1.0
0.35,0.075,2021,5,0.011111111111111112,0.0,0.3493227928876877,0.2632287472656055,-0.3493227928876877,0.08609404562208214,0.632250670446527,0.35145891696214665,5,1.0
0.35,0.075,2022,0,0.0,,,,,,,,0,
0.35,0.075,2023,0,0.0,,,,,,,,0,
0.35,0.075,2024,0,0.0,,,,,,,,0,
0.35,0.1,2021,0,0.0,,,,,,,,0,
0.35,0.1,2022,0,0.0,,,,,,,,0,
0.35,0.1,2023,0,0.0,,,,,,,,0,
0.35,0.1,2024,0,0.0,,,,,,,,0,
0.4,0.0,2021,60,0.13333333333333333,0.23333333333333334,0.3570159656306108,0.3210712277244138,-0.12368263229727744,0.03594473790619681,0.4947818776998095,0.1356262743665821,33,1.8181818181818181
0.4,0.0,2022,46,0.10623556581986143,0.21739130434782608,0.3107873624109704,0.2782118509007448,-0.0933960580631443,0.03257551151022549,0.4708541456469872,0.14288470070472317,29,1.5862068965517242
0.4,0.0,2023,46,0.11979166666666667,0.30434782608695654,0.3169968523409056,0.28471502183531094,-0.012649026253949036,0.03228183050559456,0.44916302781054795,0.1480564882141955,28,1.6428571428571428
0.4,0.0,2024,32,0.09495548961424333,0.34375,0.4018195029348135,0.3739501976628664,-0.0580695029348135,0.027869305271947056,0.4491342013649116,0.09687528135134307,23,1.391304347826087
0.4,0.01,2021,55,0.12222222222222222,0.23636363636363636,0.346795606342229,0.30816077743040415,-0.11043196997859264,0.038634828911824765,0.5014893167881629,0.146696791678925,33,1.6666666666666667
0.4,0.01,2022,44,0.10161662817551963,0.22727272727272727,0.3021944823928855,0.2683945350748311,-0.07492175512015822,0.03379994731805437,0.47376845537520096,0.1488534308593681,28,1.5714285714285714
0.4,0.01,2023,45,0.1171875,0.3111111111111111,0.31908588144514294,0.28610375071560185,-0.007974770334031822,0.03298213072954109,0.45016417428209704,0.15126980035393314,28,1.6071428571428572
0.4,0.01,2024,30,0.08902077151335312,0.3333333333333333,0.38910634915033976,0.35973127467017807,-0.055773015817006444,0.029375074480161648,0.4513494334236144,0.10273289919874609,23,1.3043478260869565
0.4,0.02,2021,46,0.10222222222222223,0.21739130434782608,0.3365264023127763,0.2936104023879446,-0.11913509796495023,0.04291599992483163,0.51534153747949,0.1650812471602458,32,1.4375
