fold,feature,gain,weight,cover,gain_rank,used
2022,recent_form_decision_win_rate_diff,8.657382011413574,3.0,632.7147827148438,40,True
2022,recent_form_elo_diff,0.0,0.0,0.0,103,False
2022,recent_form_fights_diff,0.0,0.0,0.0,104,False
2022,recent_form_finish_loss_rate_diff,0.0,0.0,0.0,105,False
2022,recent_form_finish_rate_diff,0.0,0.0,0.0,106,False
2022,recent_form_kd_absorbed_avg_diff,0.0,0.0,0.0,107,False
2022,recent_form_kd_avg_diff,11.75343132019043,27.0,628.01025390625,19,True
2022,recent_form_ko_rate_diff,12.535082817077637,6.0,630.154296875,15,True
2022,recent_form_loss_streak_diff,0.0,0.0,0.0,108,False
2022,recent_form_losses_diff,0.0,0.0,0.0,109,False
2022,recent_form_recent_avg_fight_time_diff,0.0,0.0,0.0,110,False
2022,recent_form_recent_finish_rate_diff,0.0,0.0,0.0,111,False
2022,recent_form_recent_sapm_diff,0.0,0.0,0.0,112,False
2022,recent_form_recent_splm_diff,12.242746353149414,8.0,632.7865600585938,16,True
2022,recent_form_recent_td_avg_diff,9.16259765625,12.0,625.0286254882812,34,True
2022,recent_form_recent_win_pct_diff,0.0,0.0,0.0,113,False
2022,recent_form_sapm_diff,9.601424217224121,3.0,621.5933227539062,31,True
2022,recent_form_splm_diff,0.0,0.0,0.0,114,False
2022,recent_form_str_acc_diff,0.0,0.0,0.0,115,False
2022,recent_form_str_def_diff,0.0,0.0,0.0,116,False
2022,recent_form_sub_avg_diff,9.01865291595459,3.0,624.4814453125,35,True
2022,recent_form_sub_win_rate_diff,12.173287391662598,11.0,633.0374755859375,17,True
2022,recent_form_td_acc_diff,0.0,0.0,0.0,117,False
2022,recent_form_td_avg_diff,0.0,0.0,0.0,118,False
2022,recent_form_td_def_diff,0.0,0.0,0.0,119,False
2022,recent_form_win_pct_diff,0.0,0.0,0.0,120,False
2022,recent_form_win_streak_diff,0.0,0.0,0.0,121,False
2022,recent_form_wins_diff,0.0,0.0,0.0,122,False
2022,recent_form_worst_loss_elo_diff,9.253559112548828,5.0,626.597412109375,32,True
2022,recent_ko_losses_3_diff,0.0,0.0,0.0,123,False
2022,recent_sapm_diff,10.543346405029297,1.0,629.0435180664062,27,True
2022,recent_splm_diff,0.0,0.0,0.0,124,False
2022,recent_td_avg_diff,0.0,0.0,0.0,125,False
2022,recent_win_pct_diff,0.0,0.0,0.0,126,False
2022,sapm_diff,0.0,0.0,0.0,127,False
2022,splm_diff,8.25073528289795,2.0,621.2725830078125,44,True
2022,str_acc_diff,0.0,0.0,0.0,128,False
2022,str_def_diff,8.656370162963867,6.0,628.2042846679688,41,True
2022,style_all_round_finisher_score_diff,19.17971420288086,8.0,634.51220703125,8,True
2022,style_control_wrestler_score_diff,14.926858901977539,5.0,628.833984375,13,True
2022,style_decision_technician_score_diff,0.0,0.0,0.0,129,False
2022,style_flexibility_score_diff,0.0,0.0,0.0,130,False
2022,style_ko_finisher_score_diff,18.87160873413086,8.0,633.536376953125,9,True
2022,style_primary_score_diff,10.844952583312988,5.0,631.1014404296875,25,True
2022,style_score_spread_diff,10.169136047363281,9.0,628.8311157226562,28,True
2022,style_submission_grappler_score_diff,0.0,0.0,0.0,131,False
2022,sub_avg_diff,0.0,0.0,0.0,132,False
2022,sub_win_rate_diff,22.257410049438477,5.0,638.4108276367188,5,True
2022,submission_dependency_diff,10.572208404541016,1.0,638.2551879882812,26,True
2022,submission_mismatch_diff,0.0,0.0,0.0,133,False
2022,submission_win_concentration_diff,21.922779083251953,13.0,636.2473754882812,6,True
2022,td_acc_diff,9.2400541305542,3.0,624.4437866210938,33,True
2022,td_avg_diff,25.23230743408203,6.0,635.9027709960938,2,True
2022,td_def_diff,0.0,0.0,0.0,134,False
2022,victory_concentration_index_diff,0.0,0.0,0.0,135,False
2022,weight_diff,12.093253135681152,17.0,628.8753051757812,18,True
2022,win_method_entropy_diff,0.0,0.0,0.0,136,False
2022,win_pct_diff,0.0,0.0,0.0,137,False
2022,win_streak_diff,0.0,0.0,0.0,138,False
2022,wins_diff,0.0,0.0,0.0,139,False
2022,worst_loss_elo_diff,0.0,0.0,0.0,140,False
2022,wrestling_mismatch_diff,14.847488403320312,8.0,633.018798828125,14,True
2023,age_diff,0.0,0.0,0.0,52,False
2023,age_squared_diff,0.0,0.0,0.0,53,False
2023,age_x_career_ko_losses_diff,25.77481460571289,27.0,712.6981201171875,4,True
2023,aggression_index_diff,8.878484725952148,2.0,698.6243286132812,42,True
2023,avg_fight_time_diff,0.0,0.0,0.0,54,False
2023,avg_opponent_elo_diff,8.16507625579834,1.0,694.8780517578125,44,True
2023,best_win_elo_diff,0.0,0.0,0.0,55,False
2023,career_ko_losses_diff,41.19415283203125,1.0,720.9862670898438,1,True
2023,chin_risk_diff,0.0,0.0,0.0,56,False
2023,ctrl_against_per_min_diff,0.0,0.0,0.0,57,False
2023,ctrl_per_min_diff,0.0,0.0,0.0,58,False
2023,days_since_last_fight_diff,0.0,0.0,0.0,59,False
2023,days_since_last_ko_loss_diff,0.0,0.0,0.0,60,False
2023,decision_dependency_diff,0.0,0.0,0.0,61,False
2023,decision_loss_rate_diff,0.0,0.0,0.0,62,False
2023,decision_win_rate_diff,0.0,0.0,0.0,63,False
2023,elo_diff,0.0,0.0,0.0,64,False
2023,ewm_avg_fight_time_diff,0.0,0.0,0.0,65,False
2023,ewm_avg_opponent_elo_diff,0.0,0.0,0.0,66,False
2023,ewm_best_win_elo_diff,0.0,0.0,0.0,67,False
2023,ewm_ctrl_against_per_min_diff,0.0,0.0,0.0,68,False
2023,ewm_ctrl_per_min_diff,11.06423568725586,2.0,702.5462646484375,28,True
2023,ewm_days_since_last_fight_diff,0.0,0.0,0.0,69,False
2023,ewm_decision_loss_rate_diff,0.0,0.0,0.0,70,False
2023,ewm_decision_win_rate_diff,0.0,0.0,0.0,71,False
2023,ewm_elo_diff,7.545296669006348,1.0,703.2513427734375,47,True
2023,ewm_fights_diff,0.0,0.0,0.0,72,False
2023,ewm_finish_loss_rate_diff,0.0,0.0,0.0,73,False
2023,ewm_finish_rate_diff,0.0,0.0,0.0,74,False
2023,ewm_kd_absorbed_avg_diff,12.621235847473145,13.0,706.4979858398438,24,True
2023,ewm_kd_avg_diff,0.0,0.0,0.0,75,False
2023,ewm_ko_rate_diff,18.526559829711914,3.0,709.7924194335938,11,True
2023,ewm_loss_streak_diff,0.0,0.0,0.0,76,False
2023,ewm_losses_diff,0.0,0.0,0.0,77,False
2023,ewm_recent_avg_fight_time_diff,0.0,0.0,0.0,78,False
2023,ewm_recent_finish_rate_diff,0.0,0.0,0.0,79,False
2023,ewm_recent_sapm_diff,0.0,0.0,0.0,80,False
2023,ewm_recent_splm_diff,9.328258514404297,3.0,706.8449096679688,41,True
2023,ewm_recent_td_avg_diff,15.27572250366211,8.0,710.8406372070312,14,True
2023,ewm_recent_win_pct_diff,0.0,0.0,0.0,81,False
2023,ewm_sapm_diff,0.0,0.0,0.0,82,False
2023,ewm_splm_diff,9.645744323730469,4.0,703.7053833007812,36,True
2023,ewm_str_acc_diff,9.365921974182129,1.0,698.8196411132812,39,True
