fight_id,event_name,fight_display,refresh_timestamp,red_fighter,blue_fighter,v5_model_p_red,predicted_side,bet_fighter,bet_slug,model_probability,normalized_market_probability,raw_implied_probability,american_odds,decimal_odds,actual_winner,actual_method,target,won,stake_units,profit_units
06bfde3e3577906f,UFC Fight Night: Gamrot vs. Salkilld,Darren Elkins vs Yadier del Valle,2026-08-07 20:54:02.712432+00:00,Darren Elkins,Yadier del Valle,0.1448325947420556,blue,Yadier del Valle,blue_ko,0.4363955358586484,0.4258963000843088,0.5121951219512195,-105.0,1.9523809523809523,Yadier del Valle,KO/TKO,3,1,1.0,0.9523809523809523
0e60ab32f3d03929,UFC Fight Night: Fiziev vs. Torres,Daniil Donchenko vs Theodor Berggren,2026-06-26 23:21:05.564609+00:00,Daniil Donchenko,Theodor Berggren,0.7975490125001281,red,Daniil Donchenko,red_ko,0.4564843721647305,0.5038786512339134,0.6,-150.0,1.6666666666666665,Daniil Donchenko,KO/TKO,0,1,1.0,0.6666666666666665
a57ccf31c5f6f82b,UFC Fight Night: Hernandez vs. Rodrigues,Serghei Spivac vs Vitor Petrino,2026-08-21 20:39:18.694686+00:00,Serghei Spivac,Vitor Petrino,0.42525967912955,blue,Vitor Petrino,blue_ko,0.287240329947506,0.2722513089005235,0.3333333333333333,200.0,3.0,Vitor Petrino,Decision - Unanimous,5,0,1.0,-1.0
53902dcb3e213b18,UFC 330: Makhachev vs. Machado Garry,Mansur Abdul-Malik vs Dustin Stoltzfus,2026-08-14 20:42:43.693741+00:00,Mansur Abdul-Malik,Dustin Stoltzfus,0.8476326424694357,red,Mansur Abdul-Malik,red_ko,0.4213897437870452,0.4414695068900676,0.5238095238095238,-110.0,1.9090909090909092,Dustin Stoltzfus,Submission,4,0,1.0,-1.0
809814f03ff3140c,UFC Fight Night: Fiziev vs. Torres,Nazim Sadykhov vs Matheus Camilo,2026-06-26 23:21:05.564609+00:00,Nazim Sadykhov,Matheus Camilo,0.5708298234002076,red,Nazim Sadykhov,red_dec,0.2536388815727594,0.2070573217781542,0.25,300.0,4.0,Matheus Camilo,KO/TKO,3,0,1.0,-1.0
5ffb251c6ea48b65,UFC Fight Night: Ankalaev vs. Guskov,Rizvan Kuniev vs Tyrell Fortune,2026-07-24 20:31:56.149697+00:00,Rizvan Kuniev,Tyrell Fortune,0.7427144993037521,red,Rizvan Kuniev,red_dec,0.4140190234002461,0.3596626075229738,0.43478260869565216,130.0,2.3,Rizvan Kuniev,KO/TKO,0,0,1.0,-1.0
52ddf20a10890b41,UFC Fight Night: Du Plessis vs. Usman,Tabatha Ricci vs Fatima Kline,2026-07-17 20:16:59.459648+00:00,Tabatha Ricci,Fatima Kline,0.1746585219567742,blue,Fatima Kline,blue_dec,0.6386011317894982,0.5534618913493783,0.6666666666666666,-200.0,1.5,Fatima Kline,Decision - Unanimous,5,1,1.0,0.5
d7070ab1b2144f8d,UFC Fight Night: Ankalaev vs. Guskov,Valter Walker vs Thomas Petersen,2026-07-24 20:31:56.149697+00:00,Valter Walker,Thomas Petersen,0.6348878531152878,red,Valter Walker,red_sub,0.3478247460826751,0.3141670072902061,0.37735849056603776,165.0,2.65,Valter Walker,Submission,1,1,1.0,1.65
130b325610c54a64,UFC 329: McGregor vs. Holloway 2,Benoit Saint Denis vs Paddy Pimblett,2026-07-10 20:36:17.559163+00:00,Benoit Saint Denis,Paddy Pimblett,0.6034901855913674,red,Benoit Saint Denis,red_ko,0.2137828930649765,0.1982696467195385,0.23809523809523808,320.0,4.2,Paddy Pimblett,Submission,4,0,1.0,-1.0
3bd159c1bed14700,UFC Fight Night: Du Plessis vs. Usman,Austin Bashi vs Jose Delgado,2026-07-17 20:16:59.459648+00:00,Austin Bashi,Jose Delgado,0.6013431069728512,red,Austin Bashi,red_dec,0.3562614415426556,0.2719886965736488,0.3333333333333333,200.0,3.0,Jose Delgado,Decision - Unanimous,5,0,1.0,-1.0
a4b3becc0cc394d7,UFC Fight Night: Hernandez vs. Rodrigues,Carli Judice vs Jeisla Chaves,2026-08-21 20:39:18.694686+00:00,Carli Judice,Jeisla Chaves,0.7950390478929874,red,Carli Judice,red_dec,0.491851483546066,0.3823241500711086,0.45454545454545453,120.0,2.2,Carli Judice,KO/TKO,0,0,1.0,-1.0
a26ea74f2e908842,UFC 329: McGregor vs. Holloway 2,King Green vs Terrance McKinney,2026-07-10 20:36:17.559163+00:00,King Green,Terrance McKinney,0.5233381070923669,red,King Green,red_ko,0.3533417812722359,0.2931409553831722,0.3508771929824561,185.0,2.85,King Green,KO/TKO,0,1,1.0,1.85
81cde317c156723b,UFC Fight Night: Fiziev vs. Torres,Asu Almabayev vs Charles Johnson,2026-06-26 23:21:05.564609+00:00,Asu Almabayev,Charles Johnson,0.7363314765502402,red,Asu Almabayev,red_dec,0.4951962305019995,0.4340787210361226,0.5238095238095238,-110.0,1.9090909090909092,Asu Almabayev,Submission,1,0,1.0,-1.0
5425c577ed4f50b3,UFC Fight Night: Medic vs. Rodriguez,Mateusz Rebecki vs Kyle Prepolec,2026-07-31 21:20:50.686938+00:00,Mateusz Rebecki,Kyle Prepolec,0.8520291223402454,red,Mateusz Rebecki,red_dec,0.3828309870413031,0.2765876234553175,0.3333333333333333,200.0,3.0,Mateusz Rebecki,KO/TKO,0,0,1.0,-1.0
118c25bda9392140,UFC 329: McGregor vs. Holloway 2,Gable Steveson vs Elisha Ellison,2026-07-10 20:36:17.559163+00:00,Gable Steveson,Elisha Ellison,0.9124894062508416,red,Gable Steveson,red_ko,0.6548323404466309,0.6236111078505713,0.7333333333333333,-275.0,1.3636363636363638,Gable Steveson,KO/TKO,0,1,1.0,0.36363636363636376
9c5da658c76da7c0,UFC 330: Makhachev vs. Machado Garry,Donte Johnson vs Eric McConico,2026-08-14 20:42:43.693741+00:00,Donte Johnson,Eric McConico,0.7776656001124271,red,Donte Johnson,red_ko,0.4328758255248527,0.4239330500617342,0.5121951219512195,-105.0,1.9523809523809523,Donte Johnson,KO/TKO,0,1,1.0,0.9523809523809523
f2abca7379982d4f,UFC Fight Night: Du Plessis vs. Usman,Chase Hooper vs Mitch Ramirez,2026-07-17 20:16:59.459648+00:00,Chase Hooper,Mitch Ramirez,0.8013316510698059,red,Chase Hooper,red_sub,0.3671202139521122,0.3358899814452835,0.4,150.0,2.5,Chase Hooper,Submission,1,1,1.0,1.5
0c3c835e681972d3,UFC Fight Night: Medic vs. Rodriguez,Jan Blachowicz vs Navajo Stirling,2026-07-31 21:20:50.686938+00:00,Jan Blachowicz,Navajo Stirling,0.2855914615868126,blue,Navajo Stirling,blue_dec,0.4745449428821692,0.4277388283215527,0.5121951219512195,-105.0,1.9523809523809523,Navajo Stirling,KO/TKO,3,0,1.0,-1.0
ae0a91c8f92f4758,UFC Fight Night: Fiziev vs. Torres,Bekzat Almakhan vs Jean Matsumoto,2026-06-26 23:21:05.564609+00:00,Bekzat Almakhan,Jean Matsumoto,0.4015230994654777,blue,Jean Matsumoto,blue_dec,0.4475626913467183,0.3926717682539031,0.47619047619047616,110.0,2.1,Jean Matsumoto,Decision - Unanimous,5,1,1.0,1.1
e05155c1b5c2dc74,UFC Fight Night: Du Plessis vs. Usman,RJ Harris vs Alvin Hines,2026-07-17 20:16:59.459648+00:00,RJ Harris,Alvin Hines,0.5323639013013793,red,RJ Harris,red_dec,0.2321708249628004,0.1490294487302641,0.18181818181818182,450.0,5.5,RJ Harris,KO/TKO,0,0,1.0,-1.0
97fb716bc7b8751a,UFC Fight Night: Hernandez vs. Rodrigues,Shanelle Dyer vs Elise Reed,2026-08-21 20:39:18.694686+00:00,Shanelle Dyer,Elise Reed,0.8883109946744282,red,Shanelle Dyer,red_dec,0.3375812524812873,0.2760840597383558,0.3333333333333333,200.0,3.0,Shanelle Dyer,KO/TKO,0,0,1.0,-1.0
930317fde9dbc55e,UFC 329: McGregor vs. Holloway 2,Luke Riley vs Kai Kamaka III,2026-07-10 20:36:17.559163+00:00,Luke Riley,Kai Kamaka III,0.733829224559176,red,Luke Riley,red_dec,0.4262120417115548,0.3817642087571725,0.45454545454545453,120.0,2.2,Luke Riley,KO/TKO,0,0,1.0,-1.0
3050549d19395f6f,UFC Fight Night: Gamrot vs. Salkilld,Steven Asplund vs Guilherme Pat,2026-08-07 20:54:02.712432+00:00,Steven Asplund,Guilherme Pat,0.7055899401346537,red,Steven Asplund,red_dec,0.4064581840355632,0.3188072273633985,0.37735849056603776,165.0,2.65,Steven Asplund,Decision - Unanimous,2,1,1.0,1.65
