URL	https://www.bestfightodds.com/events/ufc-belgrade-4285
841	Musayev wins by TKO/KO in round 1
842	Any other result
843	Klein wins by submission in round 1
844	Any other result
845	Musayev wins by submission in round 1
846	Any other result
847	Klein wins by TKO/KO in round 2
848	Any other result
849	Musayev wins by TKO/KO in round 2
850	Any other result
851	Klein wins by TKO/KO in round 3
852	Any other result
853	Musayev wins by TKO/KO in round 3
854	Any other result
855	Klein wins by submission in round 2
856	Any other result
857	Musayev wins by submission in round 2
858	Any other result
859	Klein wins by submission in round 3
860	Any other result
861	Musayev wins by submission in round 3
862	Any other result
863	Either fighter wins by TKO/KO
864	Any other result
865	Either fighter wins by submission
866	Any other result
867	Klein wins in round 1 or 2
868	Any other result
869	Musayev wins in round 1 or 2
870	Any other result
871	Fight ends in round 1 or 2
872	Any other result
873	Fight ends in final round or goes to decision
874	Any other result
875	Fight ends in final round or goes to decision
876	Any other result
877	Fight ends in final round or goes to decision
878	Any other result
879	Klein wins in final round or by decision
880	Any other result
881	Musayev wins in final round or by decision
882	Any other result
883	Fight ends in TKO/KO/DQ in round 1
884	Any other result
885	Fight ends in TKO/KO/DQ in round 2
886	Any other result
887	Fight ends in TKO/KO/DQ in round 3
888	Any other result
889	Fight ends in submission in round 1
890	Any other result
891	Fight ends in submission in round 2
892	Any other result
893	Fight ends in submission in round 3
894	Any other result
895	44223 Michael Oliveira
896	Oban Elliott
897	Over 1½ rounds
898	Under 1½ rounds
899	Over 2½ rounds
900	Under 2½ rounds
901	Fight goes to decision
902	Fight doesn't go to decision
903	Fight starts round 2
904	Fight won't start round 2
905	Fight starts round 3
906	Fight won't start round 3
907	Fight is a draw
908	Fight is not a draw
909	Oliveira wins by TKO/KO
910	Any other result
911	Elliott wins by TKO/KO
912	Any other result
913	Oliveira wins by submission
914	Any other result
915	Elliott wins by submission
916	Any other result
917	Oliveira wins inside distance
918	Not Oliveira inside distance
919	Elliott wins inside distance
920	Not Elliott inside distance
921	Oliveira wins by decision
922	Not Oliveira by decision
923	Elliott wins by decision
924	Not Elliott by decision
925	Oliveira wins in round 1
926	Any other result
927	Elliott wins in round 1
928	Any other result
929	Oliveira wins in round 2
930	Any other result
931	Elliott wins in round 2
932	Any other result
933	Oliveira wins in round 3
934	Any other result
935	Elliott wins in round 3
936	Any other result
937	Fight ends in round 1
938	Fight doesn't end in round 1
939	Fight ends in round 1
940	Fight doesn't end in round 1
941	Fight ends in round 1
942	Fight doesn't end in round 1
943	Fight ends in round 2
944	Fight doesn't end in round 2
945	Fight ends in round 2
946	Fight doesn't end in round 2
947	Fight ends in round 2
948	Fight doesn't end in round 2
949	Fight ends in round 3
950	Fight doesn't end in round 3
951	Fight ends in round 3
952	Fight doesn't end in round 3
953	Fight ends in round 3
954	Fight doesn't end in round 3
955	Oliveira (scorecards = no action)
956	Elliott (scorecards = no action)
957	Elliott (scorecards = no action)
958	Oliveira (scorecards = no action)
959	Oliveira wins by TKO/KO in round 1
960	Any other result
961	Elliott wins by TKO/KO in round 1
962	Any other result
963	Oliveira wins by submission in round 1
964	Any other result
965	Elliott wins by submission in round 1
966	Any other result
967	Oliveira wins by TKO/KO in round 2
968	Any other result
969	Elliott wins by TKO/KO in round 2
970	Any other result
971	Oliveira wins by TKO/KO in round 3
972	Any other result
973	Elliott wins by TKO/KO in round 3
974	Any other result
975	Oliveira wins by submission in round 2
976	Any other result
977	Elliott wins by submission in round 2
978	Any other result
979	Oliveira wins by submission in round 3
980	Any other result
981	Elliott wins by submission in round 3
982	Any other result
983	Either fighter wins by TKO/KO
984	Any other result
985	Either fighter wins by submission
986	Any other result
987	Oliveira wins in round 1 or 2
988	Any other result
989	Elliott wins in round 1 or 2
990	Any other result
991	Fight ends in round 1 or 2
992	Any other result
993	Fight ends in final round or goes to decision
994	Any other result
995	Fight ends in final round or goes to decision
996	Any other result
997	Fight ends in final round or goes to decision
998	Any other result
999	Oliveira wins in final round or by decision
1000	Any other result
