market_key,is_synthetic,year,n,mean_implied_p,realized_win_rate,calibration_error,brier,log_loss,flat_bet_roi
win_by_decision,False,2014,835.0,0.271780557894099,0.23832335329341317,-0.033457204600685825,0.17373974246081433,0.5240569421480569,-0.13908891550395605
win_by_decision,False,2015,849.0,0.268595218494022,0.23674911660777384,-0.031846101886248174,0.17156955016557615,0.5217067002663309,-0.10454870752319165
win_by_decision,False,2016,865.0,0.25898338847202795,0.24624277456647398,-0.012740613905553977,0.17152060305901592,0.5201970986505903,-0.07490914304234482
win_by_decision,False,2017,800.0,0.2681386726390484,0.24125,-0.0268886726390484,0.1701669373827442,0.516500468194736,-0.11324096463463898
win_by_decision,False,2018,859.0,0.2712648831929821,0.23050058207217694,-0.040764301120805146,0.16198863232238914,0.49720214092992787,-0.2027243998861265
win_by_decision,False,2019,902.0,0.27558256414785587,0.25609756097560976,-0.019485003172246107,0.1757779970765702,0.5297005209437172,-0.09921601969515587
win_by_decision,False,2020,824.0,0.2701899819141752,0.23179611650485438,-0.038393865409320826,0.16699359555841037,0.5094029378192612,-0.16526078140900352
win_by_decision,False,2021,924.0,0.2803633026602798,0.25216450216450215,-0.028198800495777665,0.17796838074766125,0.5351944365059896,-0.1160594112234688
win_by_decision,False,2022,914.0,0.2703295679910821,0.23522975929978118,-0.035099808691300916,0.17160213948080788,0.5189461369366439,-0.14363309648487083
win_by_decision,False,2023,808.0,0.24224413188340027,0.2376237623762376,-0.004620369507162658,0.16694290336466974,0.5089985419078743,-0.023163981770847882
win_by_decision,False,2024,725.0,0.26112223298694154,0.27034482758620687,0.009222594599265332,0.17302503402160418,0.5221339197045506,0.019762583428123533
win_by_decision,False,2025,757.0,0.26386720768061317,0.25495376486129456,-0.008913442819318607,0.17477496904446746,0.5279877465033144,-0.012780611256951022
win_by_decision,False,2026,227.0,0.23468875997460628,0.28193832599118945,0.04724956601658317,0.18073595643781565,0.5429012683510098,0.2092304968861184
win_by_ko_tko_dq,False,2012,144.0,0.23652815171411243,0.20833333333333334,-0.028194818380779085,0.15636838146745846,0.47930250582115647,-0.07340565623894266
win_by_ko_tko_dq,False,2013,639.0,0.21137442747829246,0.18935837245696402,-0.022016055021328446,0.13268350299926557,0.42104266592935646,-0.1978746803674561
win_by_ko_tko_dq,False,2014,605.0,0.2109130066015106,0.16198347107438016,-0.04892953552713045,0.1266313209074071,0.41329166078989943,-0.2136885428123711
win_by_ko_tko_dq,False,2015,849.0,0.20372347568996949,0.1684334511189635,-0.035290024571005996,0.12972937361615702,0.41768735906154103,-0.19148025841705713
win_by_ko_tko_dq,False,2016,865.0,0.21439312191078944,0.1630057803468208,-0.051387341563968625,0.12780227112422524,0.4151392227378344,-0.27072451454038343
win_by_ko_tko_dq,False,2017,798.0,0.21121729539985726,0.16541353383458646,-0.0458037615652708,0.1322372804054625,0.42728975390833374,-0.170452808652463
win_by_ko_tko_dq,False,2018,859.0,0.2094438720072704,0.16530849825378346,-0.044135373753486945,0.1315985890652082,0.4229272020197655,-0.19322943051762234
win_by_ko_tko_dq,False,2019,902.0,0.20465111193267296,0.15853658536585366,-0.0461145265668193,0.1226968904322061,0.40226523756028687,-0.2408356183472719
win_by_ko_tko_dq,False,2020,824.0,0.21402891031045843,0.15655339805825244,-0.057475512252205985,0.13159769575702418,0.4236958909741285,-0.23734675014903595
win_by_ko_tko_dq,False,2021,922.0,0.2149877442926253,0.1702819956616052,-0.04470574863102009,0.1383229160656933,0.4408219342315056,-0.17503983780449725
