market_type,card,date,fight_id,fighter,market_key,odds,market_fair_p,model_p,edge,won,min_prior_fights,cold_start,cold_start_fighters,fighter_prior_fights,eligible,eligibility_reason
method,UFC 329,2026-07-11,989760fa75321d69,Conor McGregor,win_by_decision,650.0,0.1126445706289648,0.1556918621063232,0.0430472914773583,0,14.0,False,,Max Holloway:32 | Conor McGregor:14,True,eligible
method,UFC 329,2026-07-11,989760fa75321d69,Max Holloway,win_by_decision,250.0,0.2413812227763533,0.3328777253627777,0.0914965025864243,0,14.0,False,,Max Holloway:32 | Conor McGregor:14,True,eligible
method,UFC 329,2026-07-11,989760fa75321d69,Max Holloway,win_by_ko_tko_dq,105.0,0.4121142827888959,0.4511475563049316,0.0390332735160357,1,14.0,False,,Max Holloway:32 | Conor McGregor:14,True,eligible
method,UFC 329,2026-07-11,a26ea74f2e908842,King Green,win_by_ko_tko_dq,300.0,0.1923330502708433,0.2155775278806686,0.0232444776098253,1,13.0,False,,Terrance McKinney:13 | King Green:28,True,eligible
method,UFC 329,2026-07-11,a26ea74f2e908842,Terrance McKinney,win_by_decision,650.0,0.1025776268111164,0.1304580271244049,0.0278804003132884,0,13.0,False,,Terrance McKinney:13 | King Green:28,True,eligible
method,UFC 329,2026-07-11,c572daedf2012a49,Cory Sandhagen,win_by_decision,160.0,0.3033367037411527,0.323488175868988,0.0201514721278353,0,14.0,False,,Cory Sandhagen:16 | Mario Bautista:14,True,eligible
method,UFC 329,2026-07-11,c572daedf2012a49,Mario Bautista,win_by_decision,260.0,0.2190765082574992,0.2918530404567718,0.0727765321992726,1,14.0,False,,Cory Sandhagen:16 | Mario Bautista:14,True,eligible
method,Oklahoma City,2026-07-18,307ea95ad7ebe466,Dione Barbosa,win_by_decision,215.0,0.2691497873022918,0.3278576731681824,0.0587078858658905,0,0.0,True,Anna Melisano,Dione Barbosa:5 | Anna Melisano:0,False,cold_start_fighter_lt_2_prior_fights
method,Oklahoma City,2026-07-18,3bd159c1bed14700,Austin Bashi,win_by_decision,215.0,0.2722768712942471,0.3536951541900635,0.0814182828958163,0,2.0,False,,Jose Delgado:4 | Austin Bashi:2,True,eligible
method,Oklahoma City,2026-07-18,3bd159c1bed14700,Jose Delgado,win_by_decision,410.0,0.1681710087405643,0.200833573937416,0.0326625651968517,1,2.0,False,,Jose Delgado:4 | Austin Bashi:2,True,eligible
method,Oklahoma City,2026-07-18,410e6b9e01660b35,Alden Coria,win_by_decision,265.0,0.2385063247311103,0.2914952933788299,0.0529889686477196,1,2.0,False,,Stewart Nicoll:3 | Alden Coria:2,True,eligible
method,Oklahoma City,2026-07-18,46d800ce45fdd3e6,Felipe Franco,win_by_ko_tko_dq,-110.0,0.4470525626446788,0.470235526561737,0.0231829639170582,1,0.0,True,Levi Rodrigues Jr. | Felipe Franco,Levi Rodrigues Jr.:0 | Felipe Franco:1,False,cold_start_fighter_lt_2_prior_fights
method,Oklahoma City,2026-07-18,52ddf20a10890b41,Fatima Kline,win_by_decision,-172.0,0.5441064169092318,0.6257866621017456,0.0816802451925138,1,4.0,False,,Fatima Kline:4 | Tabatha Ricci:11,True,eligible
method,Oklahoma City,2026-07-18,52ddf20a10890b41,Tabatha Ricci,win_by_decision,575.0,0.1274736825144798,0.1619086861610412,0.0344350036465614,0,4.0,False,,Fatima Kline:4 | Tabatha Ricci:11,True,eligible
method,Oklahoma City,2026-07-18,701c97405da76603,Dricus Du Plessis,win_by_decision,175.0,0.3120029078227846,0.3386216461658478,0.0266187383430631,1,10.0,False,,Dricus Du Plessis:10 | Kamaru Usman:19,True,eligible
method,Oklahoma City,2026-07-18,701c97405da76603,Kamaru Usman,win_by_decision,423.0,0.1640550662548102,0.1948561519384384,0.0308010856836281,0,10.0,False,,Dricus Du Plessis:10 | Kamaru Usman:19,True,eligible
