market_type,threshold,card,date,bets,wins,losses,flat_start_bankroll,flat_risk,flat_profit,flat_end_bankroll,flat_card_roi,kelly_start_bankroll,kelly_risk,kelly_profit,kelly_end_bankroll,kelly_card_roi
method,0.02,UFC 329,2026-07-11,11,4,7,582.5909090909091,110.0,15.5,598.0909090909091,0.1409090909090909,573.8261444633771,19.546296066012694,-9.481418359134079,564.344726104243,-0.485074938347039
method,0.02,Oklahoma City,2026-07-18,16,7,9,598.0909090909091,160.0,75.20486257928118,673.2957716701903,0.4700303911205074,564.344726104243,29.82265925975699,-8.428939022865839,555.9157870813772,-0.2826353930898422
method,0.03,Freedom 250,2026-06-14,5,3,2,500.0,50.0,36.09090909090909,536.0909090909091,0.7218181818181819,500.0,37.268906569473046,35.931952789788255,535.9319527897883,0.9641268311107392
method,0.03,Vegas 119,2026-06-20,4,3,1,536.0909090909091,40.0,96.5,632.5909090909091,2.4125,535.9319527897883,27.586033056385226,52.20625616678693,588.1382089565752,1.8924887119535645
method,0.03,Baku,2026-06-27,2,0,2,632.5909090909091,20.0,-20.0,612.5909090909091,-1.0,588.1382089565752,11.573712016921958,-11.573712016921958,576.5644969396533,-1.0
method,0.03,UFC 329,2026-07-11,8,3,5,612.5909090909091,80.0,5.5,618.0909090909091,0.06875,576.5644969396533,19.63957283416073,-9.5266645816927,567.0378323579606,-0.4850749383470391
method,0.03,Oklahoma City,2026-07-18,11,4,7,618.0909090909091,110.0,28.61395348837209,646.7048625792812,0.26012684989429175,567.0378323579606,29.021306130783586,-7.52549304337891,559.5123393145817,-0.25930924712573294
method,0.05,Freedom 250,2026-06-14,4,3,1,500.0,40.0,46.09090909090909,546.0909090909091,1.1522727272727273,500.0,35.834749016001034,37.36611034326027,537.3661103432603,1.0427339766374657
method,0.05,Vegas 119,2026-06-20,3,2,1,546.0909090909091,30.0,26.5,572.5909090909091,0.8833333333333333,537.3661103432603,24.21844210894998,28.256080946025616,565.6221912892859,1.1667175295137386
method,0.05,Baku,2026-06-27,1,0,1,572.5909090909091,10.0,-10.0,562.5909090909091,-1.0,565.6221912892859,7.564855539692455,-7.564855539692455,558.0573357495934,-1.0
method,0.05,UFC 329,2026-07-11,3,1,2,562.5909090909091,30.0,6.0,568.5909090909091,0.2,558.0573357495934,14.645015611637696,-4.8567219064096445,553.2006138431838,-0.33162968447437086
method,0.05,Oklahoma City,2026-07-18,6,2,4,568.5909090909091,60.0,-7.686046511627907,560.9048625792813,-0.12810077519379845,553.2006138431838,23.328963666120085,-11.145709329488557,542.0549045136952,-0.4777627282979191
method,0.075,Freedom 250,2026-06-14,2,2,0,500.0,20.0,29.59090909090909,529.5909090909091,1.4795454545454545,500.0,26.50622422011886,37.911536646160194,537.9115366461602,1.4302880837092002
method,0.075,Vegas 119,2026-06-20,1,1,0,529.5909090909091,10.0,10.5,540.0909090909091,1.05,537.9115366461602,14.860223873390462,15.603235067059986,553.5147717132203,1.05
method,0.075,Baku,2026-06-27,0,0,0,540.0909090909091,0.0,0.0,540.0909090909091,,553.5147717132203,0.0,0.0,553.5147717132203,
method,0.075,UFC 329,2026-07-11,1,0,1,540.0909090909091,10.0,-10.0,530.0909090909091,-1.0,553.5147717132203,9.136981185585851,-9.136981185585851,544.3777905276345,-1.0
method,0.075,Oklahoma City,2026-07-18,2,1,1,530.0909090909091,20.0,-4.186046511627906,525.9048625792813,-0.20930232558139533,544.3777905276345,7.225015945472843,-7.225015945472843,537.1527745821617,-1.0
method,0.1,Freedom 250,2026-06-14,2,2,0,500.0,20.0,29.59090909090909,529.5909090909091,1.4795454545454545,500.0,26.50622422011886,37.911536646160194,537.9115366461602,1.4302880837092002
method,0.1,Vegas 119,2026-06-20,1,1,0,529.5909090909091,10.0,10.5,540.0909090909091,1.05,537.9115366461602,14.860223873390462,15.603235067059986,553.5147717132203,1.05
method,0.1,Baku,2026-06-27,0,0,0,540.0909090909091,0.0,0.0,540.0909090909091,,553.5147717132203,0.0,0.0,553.5147717132203,
method,0.1,UFC 329,2026-07-11,0,0,0,540.0909090909091,0.0,0.0,540.0909090909091,,553.5147717132203,0.0,0.0,553.5147717132203,
method,0.1,Oklahoma City,2026-07-18,0,0,0,540.0909090909091,0.0,0.0,540.0909090909091,,553.5147717132203,0.0,0.0,553.5147717132203,
