market_type,threshold,card,date,bets,wins,losses,flat_start_bankroll,flat_risk,flat_profit,flat_end_bankroll,flat_card_roi,kelly_start_bankroll,kelly_risk,kelly_profit,kelly_end_bankroll,kelly_card_roi
method,0.075,Baku,2026-06-27,0,0,0,540.0909090909091,0.0,0.0,540.0909090909091,,553.5147717132203,0.0,0.0,553.5147717132203,
method,0.075,UFC 329,2026-07-11,1,0,1,540.0909090909091,10.0,-10.0,530.0909090909091,-1.0,553.5147717132203,9.136981185585851,-9.136981185585851,544.3777905276345,-1.0
method,0.075,Oklahoma City,2026-07-18,2,1,1,530.0909090909091,20.0,-4.186046511627906,525.9048625792813,-0.20930232558139533,544.3777905276345,7.225015945472843,-7.225015945472843,537.1527745821617,-1.0
method,0.075,Abu Dhabi,2026-07-25,0,0,0,525.9048625792813,0.0,0.0,525.9048625792813,,537.1527745821617,0.0,0.0,537.1527745821617,
method,0.075,Belgrade,2026-08-01,2,1,1,525.9048625792813,20.0,14.0,539.9048625792813,0.7,537.1527745821617,27.648837488854504,9.362283188996663,546.5150577711584,0.33861399029057493
method,0.1,Freedom 250,2026-06-14,2,2,0,500.0,20.0,29.59090909090909,529.5909090909091,1.4795454545454545,500.0,26.50622422011886,37.911536646160194,537.9115366461602,1.4302880837092002
method,0.1,Vegas 119,2026-06-20,1,1,0,529.5909090909091,10.0,10.5,540.0909090909091,1.05,537.9115366461602,14.860223873390462,15.603235067059986,553.5147717132203,1.05
method,0.1,Baku,2026-06-27,0,0,0,540.0909090909091,0.0,0.0,540.0909090909091,,553.5147717132203,0.0,0.0,553.5147717132203,
method,0.1,UFC 329,2026-07-11,0,0,0,540.0909090909091,0.0,0.0,540.0909090909091,,553.5147717132203,0.0,0.0,553.5147717132203,
method,0.1,Oklahoma City,2026-07-18,0,0,0,540.0909090909091,0.0,0.0,540.0909090909091,,553.5147717132203,0.0,0.0,553.5147717132203,
method,0.1,Abu Dhabi,2026-07-25,0,0,0,540.0909090909091,0.0,0.0,540.0909090909091,,553.5147717132203,0.0,0.0,553.5147717132203,
method,0.1,Belgrade,2026-08-01,1,0,1,540.0909090909091,10.0,-10.0,530.0909090909091,-1.0,553.5147717132203,17.27383135050425,-17.27383135050425,536.2409403627161,-1.0
