fold,feature,bin,n,value_min,value_median,value_max,mean_signed_shap,mean_abs_shap,empirical_win_rate
2021,diff_hist_d730_elapsed_seconds_mean,10,73,890.5,1235.6666666666667,2329.0,0.018450867856712374,0.018450867856712374,0.5342465753424658
2021,opp_hist_f3_distance_acc_mean,1,87,0.0,0.27283183804922934,0.3063340643274854,0.009786902552192238,0.009786902552192238,0.45977011494252873
2021,opp_hist_f3_distance_acc_mean,2,87,0.3078161848932013,0.33157894736842103,0.3460627551072977,0.010176729988949052,0.010176729988949052,0.6091954022988506
2021,opp_hist_f3_distance_acc_mean,3,87,0.3462139476249288,0.3598369011213048,0.37401433691756275,0.00996880572096541,0.00996880572096541,0.4367816091954023
2021,opp_hist_f3_distance_acc_mean,4,86,0.37448203614853365,0.3884658240915891,0.40305555555555556,0.003854793828755054,0.004437821873241689,0.5581395348837209
2021,opp_hist_f3_distance_acc_mean,5,87,0.4030928749681273,0.41418937517203414,0.4245204336947456,-0.013302579873385999,0.01579601897780473,0.5172413793103449
2021,opp_hist_f3_distance_acc_mean,6,87,0.42592592592592593,0.43913043478260866,0.450073720948214,-0.03328718190434678,0.03328718190434678,0.4827586206896552
2021,opp_hist_f3_distance_acc_mean,7,86,0.4503938502787755,0.4617009050233981,0.4750064358843798,-0.038782314115832016,0.038782314115832016,0.45348837209302323
2021,opp_hist_f3_distance_acc_mean,8,87,0.4751289518850244,0.49291938997821344,0.510253161215385,-0.03892129850199168,0.03892129850199168,0.5287356321839081
2021,opp_hist_f3_distance_acc_mean,9,87,0.5111111111111111,0.5392242636337125,0.5656277056277056,-0.03926485586354787,0.03926485586354787,0.41379310344827586
2021,opp_hist_f3_distance_acc_mean,10,87,0.5661290322580644,0.6302987861811391,1.0,-0.03794219334149498,0.03794219334149498,0.47126436781609193
2021,self_hist_f3_distance_acc_mean,1,87,0.0,0.27283183804922934,0.3063340643274854,-0.008095624219711828,0.008095624219711828,0.5402298850574713
2021,self_hist_f3_distance_acc_mean,2,87,0.3078161848932013,0.33157894736842103,0.3460627551072977,-0.008512398463556137,0.008512398463556137,0.39080459770114945
2021,self_hist_f3_distance_acc_mean,3,87,0.3462139476249288,0.3598369011213048,0.37401433691756275,-0.00846313968857472,0.00846313968857472,0.5632183908045977
2021,self_hist_f3_distance_acc_mean,4,86,0.37448203614853365,0.3884658240915891,0.40305555555555556,-0.008485442027449608,0.008485442027449608,0.4418604651162791
2021,self_hist_f3_distance_acc_mean,5,87,0.4030928749681273,0.41418937517203414,0.4245204336947456,0.007090231880074602,0.014564434243044976,0.4827586206896552
2021,self_hist_f3_distance_acc_mean,6,87,0.42592592592592593,0.43913043478260866,0.450073720948214,0.029012619271531873,0.029012619271531873,0.5172413793103449
2021,self_hist_f3_distance_acc_mean,7,86,0.4503938502787755,0.4617009050233981,0.4750064358843798,0.02942073535780574,0.02942073535780574,0.5465116279069767
2021,self_hist_f3_distance_acc_mean,8,87,0.4751289518850244,0.49291938997821344,0.510253161215385,0.030898417849307774,0.030898417849307774,0.47126436781609193
2021,self_hist_f3_distance_acc_mean,9,87,0.5111111111111111,0.5392242636337125,0.5656277056277056,0.02903323017874326,0.02903323017874326,0.5862068965517241
2021,self_hist_f3_distance_acc_mean,10,87,0.5661290322580644,0.6302987861811391,1.0,0.02739759257341596,0.02739759257341596,0.5287356321839081
2021,diff_hist_d730_rounds_observed_mean,1,76,-3.5,-2.0,-1.3333333333333333,-0.040242128098677644,0.040242128098677644,0.4868421052631579
2021,diff_hist_d730_rounds_observed_mean,2,83,-1.333333333333333,-1.0,-1.0,-0.043870023979120945,0.043870023979120945,0.4578313253012048
2021,diff_hist_d730_rounds_observed_mean,3,58,-0.9999999999999998,-0.6666666666666667,-0.6000000000000001,-0.042510210279503774,0.042510210279503774,0.5
