feature,folds,mean_gain,mean_abs_shap,median_shap_rank,top100_folds
opp_hist_career_r1_td_attempted_mean,4,3.9246649742126465,0.002181144809583202,271.5,0
opp_hist_f3_ground_acc_mean,4,5.079757750034332,0.002162831362511497,400.0,0
opp_hist_career_rev_per15_mean,4,3.438246011734009,0.002151495107682422,276.5,0
opp_hist_f3_r2_minus_r1_sig_str_landed_mean,4,2.984325110912323,0.002146549850294832,322.5,0
diff_hist_f3_r3_minus_r1_sig_str_landed_std,4,6.256215214729309,0.002131938119418919,331.0,0
opp_hist_d730_leg_attempt_share_mean,4,4.926939964294434,0.002119842276442796,348.0,0
opp_hist_d730_head_attempt_share_mean,4,4.694908618927002,0.002119762655638624,350.5,0
diff_hist_d730_head_attempt_share_mean,4,4.616140305995941,0.002109221328282729,296.0,0
opp_hist_career_r3_minus_r1_clinch_attempted_mean,4,4.562471389770508,0.00208885308529716,314.5,0
self_hist_d730_r2_sig_str_landed_mean,4,4.981340765953064,0.0020810778078157455,371.0,0
self_hist_career_r2_distance_attempted_std,4,2.7381361722946167,0.0020747988601215184,273.5,0
opp_hist_career_r2_td_attempted_mean,4,5.42255699634552,0.0020690111559815705,334.0,0
opp_hist_f3_clinch_acc_mean,4,4.86674565076828,0.0020664809562731534,278.5,0
opp_hist_f1_r2_ctrl_sec_mean,4,3.937123715877533,0.0020587078906828538,467.5,0
diff_hist_f3_body_acc_std,4,4.2893553376197815,0.0020568040054058656,310.5,0
opp_hist_f3_head_acc_std,4,4.087305724620819,0.002050582435913384,272.5,0
diff_hist_d730_total_str_landed_per15_std,4,3.3399181365966797,0.002044034088612534,401.0,0
self_hist_career_r2_minus_r1_clinch_attempted_mean,4,5.045797049999237,0.0020324434153735638,407.0,0
self_hist_f3_total_str_attempted_per15_std,4,4.440842628479004,0.002031693613389507,309.0,0
self_hist_career_sub_att_per15_std,4,5.045880675315857,0.0020313901914050803,442.0,0
self_hist_d730_leg_attempted_per15_mean,4,3.6200960874557495,0.002028142786002718,496.5,0
opp_hist_f1_total_acc_mean,4,5.194487690925598,0.0020205262990202755,309.5,0
opp_hist_d730_rounds_observed_mean,4,3.8460739850997925,0.0020185186294838786,261.0,0
opp_hist_d730_td_landed_per15_std,4,5.226146221160889,0.0020043507975060493,290.0,0
self_hist_career_r3_minus_r1_clinch_attempted_mean,4,4.0263742208480835,0.001999835716560483,407.0,0
opp_hist_f3_r2_ctrl_sec_mean,4,4.521461248397827,0.0019902634194295388,352.5,0
opp_hist_career_head_acc_mean,4,4.2824318408966064,0.0019896164012607187,315.5,0
self_hist_d730_r2_minus_r1_sig_str_attempted_mean,4,4.979576110839844,0.001986298884730786,295.5,0
opp_hist_f3_r1_clinch_attempted_mean,4,5.628453731536865,0.0019779320136876777,454.5,0
opp_hist_d730_r3_sig_str_landed_mean,4,6.1866424679756165,0.001973839185666293,316.0,0
self_hist_career_r2_td_attempted_std,4,4.88209855556488,0.0019569224095903337,321.0,0
self_hist_career_elapsed_seconds_std,4,5.192326188087463,0.0019487402751110494,253.0,0
opp_hist_career_r1_sig_str_landed_mean,4,6.357837438583374,0.001946461408806499,410.0,0
diff_hist_f3_rounds_observed_mean,4,3.111783027648926,0.0019166487618349493,582.0,0
self_hist_career_distance_landed_per15_mean,4,3.443198084831238,0.0018995397258549929,318.0,0
opp_hist_career_r2_minus_r1_td_attempted_mean,4,4.089195251464844,0.0018964099799632095,402.0,0
self_hist_f3_total_str_landed_per15_std,4,3.567306339740753,0.001896044734166935,460.5,0
opp_hist_career_sig_acc_mean,4,5.322511613368988,0.0018951665260829031,367.5,0
