fold,mechanic,kind,variant,train_rows,valid_rows,primary_metric,secondary_metric,primary_score,secondary_score
2021,ground_attempt_rate,count,division_age_height_reach_tanh,7682,942,poisson_deviance,mae,8.809727712378475,6.142434971187233
2021,ground_accuracy,binomial,fsr_raw,4688,522,attempt_log_loss,attempt_brier,0.590694600733904,0.20058910906731314
2021,ground_accuracy,binomial,fsr_calibrated,4688,522,attempt_log_loss,attempt_brier,0.5902645082007257,0.2004134878179901
2021,ground_accuracy,binomial,division_age,4688,522,attempt_log_loss,attempt_brier,0.5897044861103088,0.20020291273444646
2021,ground_accuracy,binomial,division_age_height,4688,522,attempt_log_loss,attempt_brier,0.589653774328756,0.20018540762047107
2021,ground_accuracy,binomial,division_age_reach,4688,522,attempt_log_loss,attempt_brier,0.5897303504685893,0.20021031726294414
2021,ground_accuracy,binomial,division_age_ape,4688,522,attempt_log_loss,attempt_brier,0.5897455027535521,0.20021629802309124
2021,ground_accuracy,binomial,division_age_height_reach,4688,522,attempt_log_loss,attempt_brier,0.5896994428341737,0.20019971257116614
2021,ground_accuracy,binomial,division_age_height_reach_tanh,4688,522,attempt_log_loss,attempt_brier,0.5896259395395242,0.20017233369999757
2022,distance_attempt_rate,count,fsr_raw,8624,966,poisson_deviance,mae,7.9691286230860126,19.812497755352517
2022,distance_attempt_rate,count,fsr_calibrated,8624,966,poisson_deviance,mae,7.925457995905872,20.00436897335113
2022,distance_attempt_rate,count,division_age,8624,966,poisson_deviance,mae,8.050599717895114,20.211410137726045
2022,distance_attempt_rate,count,division_age_height,8624,966,poisson_deviance,mae,8.025894827709259,20.143081917728182
2022,distance_attempt_rate,count,division_age_reach,8624,966,poisson_deviance,mae,8.010554991242941,20.094060819163044
2022,distance_attempt_rate,count,division_age_ape,8624,966,poisson_deviance,mae,8.04391243876736,20.18498263196239
2022,distance_attempt_rate,count,division_age_height_reach,8624,966,poisson_deviance,mae,8.008101195755142,20.10220286161665
2022,distance_attempt_rate,count,division_age_height_reach_tanh,8624,966,poisson_deviance,mae,8.007613590425898,20.08354031383932
2022,distance_accuracy,binomial,fsr_raw,8574,960,attempt_log_loss,attempt_brier,0.6814255097440626,0.24416193782284643
2022,distance_accuracy,binomial,fsr_calibrated,8574,960,attempt_log_loss,attempt_brier,0.6810153638841014,0.24397328097147938
2022,distance_accuracy,binomial,division_age,8574,960,attempt_log_loss,attempt_brier,0.6812729639225723,0.24409868407931384
2022,distance_accuracy,binomial,division_age_height,8574,960,attempt_log_loss,attempt_brier,0.6812553266120506,0.24409001984114995
2022,distance_accuracy,binomial,division_age_reach,8574,960,attempt_log_loss,attempt_brier,0.6812551116648968,0.24408975190547783
2022,distance_accuracy,binomial,division_age_ape,8574,960,attempt_log_loss,attempt_brier,0.6812715124385824,0.24409790458776692
2022,distance_accuracy,binomial,division_age_height_reach,8574,960,attempt_log_loss,attempt_brier,0.6812507251643704,0.24408765036890523
2022,distance_accuracy,binomial,division_age_height_reach_tanh,8574,960,attempt_log_loss,attempt_brier,0.6812536850660816,0.24408919620882275
2022,td_attempt_rate,count,fsr_raw,8624,966,poisson_deviance,mae,2.4495952543174058,1.9410274809763832
2022,td_attempt_rate,count,fsr_calibrated,8624,966,poisson_deviance,mae,2.4718656084173976,1.9399593507548223
2022,td_attempt_rate,count,division_age,8624,966,poisson_deviance,mae,2.4555530279605104,1.929247871550199
2022,td_attempt_rate,count,division_age_height,8624,966,poisson_deviance,mae,2.4494786853715427,1.930780651316542
2022,td_attempt_rate,count,division_age_reach,8624,966,poisson_deviance,mae,2.4503113926789704,1.9278585170709217
2022,td_attempt_rate,count,division_age_ape,8624,966,poisson_deviance,mae,2.4556631929893316,1.9293314612660502
2022,td_attempt_rate,count,division_age_height_reach,8624,966,poisson_deviance,mae,2.448645587123984,1.929994633045455
2022,td_attempt_rate,count,division_age_height_reach_tanh,8624,966,poisson_deviance,mae,2.4480292652058626,1.929220758912002
2022,td_completion,binomial,fsr_raw,5662,611,attempt_log_loss,attempt_brier,0.6520922198015158,0.23001967085666292
2022,td_completion,binomial,fsr_calibrated,5662,611,attempt_log_loss,attempt_brier,0.6530323068361829,0.23045499732417132
2022,td_completion,binomial,division_age,5662,611,attempt_log_loss,attempt_brier,0.6535004407257557,0.23071538580808093
2022,td_completion,binomial,division_age_height,5662,611,attempt_log_loss,attempt_brier,0.6532316666260821,0.23058106409882898
2022,td_completion,binomial,division_age_reach,5662,611,attempt_log_loss,attempt_brier,0.6534607808210817,0.2307001597303545
2022,td_completion,binomial,division_age_ape,5662,611,attempt_log_loss,attempt_brier,0.652916684027328,0.23045591786969427
2022,td_completion,binomial,division_age_height_reach,5662,611,attempt_log_loss,attempt_brier,0.6527754413122967,0.23038196104229267
2022,td_completion,binomial,division_age_height_reach_tanh,5662,611,attempt_log_loss,attempt_brier,0.6529963531381149,0.23048109716830273
2022,ground_attempt_rate,count,fsr_raw,8624,966,poisson_deviance,mae,8.80823037063821,5.929374607297135
2022,ground_attempt_rate,count,fsr_calibrated,8624,966,poisson_deviance,mae,8.802884964886442,5.91634816621419
2022,ground_attempt_rate,count,division_age,8624,966,poisson_deviance,mae,8.714392574954468,5.901132287002292
2022,ground_attempt_rate,count,division_age_height,8624,966,poisson_deviance,mae,8.715931503343633,5.900385419199396
2022,ground_attempt_rate,count,division_age_reach,8624,966,poisson_deviance,mae,8.713787660322632,5.90027741282507
2022,ground_attempt_rate,count,division_age_ape,8624,966,poisson_deviance,mae,8.716997771872597,5.902599043372112
2022,ground_attempt_rate,count,division_age_height_reach,8624,966,poisson_deviance,mae,8.7177995891235,5.902149366932177
2022,ground_attempt_rate,count,division_age_height_reach_tanh,8624,966,poisson_deviance,mae,8.711630562412655,5.8997201615319455
2022,ground_accuracy,binomial,fsr_raw,5210,577,attempt_log_loss,attempt_brier,0.5905955201823901,0.20051520789004434
2022,ground_accuracy,binomial,fsr_calibrated,5210,577,attempt_log_loss,attempt_brier,0.5902366766967961,0.20036609571362896
2022,ground_accuracy,binomial,division_age,5210,577,attempt_log_loss,attempt_brier,0.5894083208957083,0.20004414087438624
2022,ground_accuracy,binomial,division_age_height,5210,577,attempt_log_loss,attempt_brier,0.5896657925109352,0.20014811260102588
2022,ground_accuracy,binomial,division_age_reach,5210,577,attempt_log_loss,attempt_brier,0.5895431035856415,0.20009553064469615
2022,ground_accuracy,binomial,division_age_ape,5210,577,attempt_log_loss,attempt_brier,0.5893788425569005,0.20003071058598604
2022,ground_accuracy,binomial,division_age_height_reach,5210,577,attempt_log_loss,attempt_brier,0.5896411995472952,0.2001363021335005
2022,ground_accuracy,binomial,division_age_height_reach_tanh,5210,577,attempt_log_loss,attempt_brier,0.589620340882329,0.20012862915563168
2023,distance_attempt_rate,count,fsr_raw,9590,854,poisson_deviance,mae,7.944952007783129,19.610666884480768
2023,distance_attempt_rate,count,fsr_calibrated,9590,854,poisson_deviance,mae,8.046729684616416,19.997075949848774
2023,distance_attempt_rate,count,division_age,9590,854,poisson_deviance,mae,8.147887936470525,20.091590969979034
2023,distance_attempt_rate,count,division_age_height,9590,854,poisson_deviance,mae,8.06776206386035,19.95727751419301
2023,distance_attempt_rate,count,division_age_reach,9590,854,poisson_deviance,mae,8.058832051643995,19.983363251634874
2023,distance_attempt_rate,count,division_age_ape,9590,854,poisson_deviance,mae,8.13615929859385,20.096095139044486
2023,distance_attempt_rate,count,division_age_height_reach,9590,854,poisson_deviance,mae,8.04131612595407,19.941004700238054
2023,distance_attempt_rate,count,division_age_height_reach_tanh,9590,854,poisson_deviance,mae,8.028505699824425,19.9237350878704
2023,distance_accuracy,binomial,fsr_raw,9534,849,attempt_log_loss,attempt_brier,0.683892214313878,0.24537703298847785
2023,distance_accuracy,binomial,fsr_calibrated,9534,849,attempt_log_loss,attempt_brier,0.6836260358746586,0.24526246971615967
2023,distance_accuracy,binomial,division_age,9534,849,attempt_log_loss,attempt_brier,0.6835172422288818,0.24521148655873712
2023,distance_accuracy,binomial,division_age_height,9534,849,attempt_log_loss,attempt_brier,0.6835116224700446,0.24520798148174935
2023,distance_accuracy,binomial,division_age_reach,9534,849,attempt_log_loss,attempt_brier,0.683480106001115,0.245192662541412
2023,distance_accuracy,binomial,division_age_ape,9534,849,attempt_log_loss,attempt_brier,0.6835057094347868,0.24520582067862715
2023,distance_accuracy,binomial,division_age_height_reach,9534,849,attempt_log_loss,attempt_brier,0.6834903147590715,0.24519742271505957
2023,distance_accuracy,binomial,division_age_height_reach_tanh,9534,849,attempt_log_loss,attempt_brier,0.6834901890929015,0.24519746920700664
2023,td_attempt_rate,count,fsr_raw,9590,854,poisson_deviance,mae,2.474982736762551,1.9903829317092754
2023,td_attempt_rate,count,fsr_calibrated,9590,854,poisson_deviance,mae,2.4804388925300027,1.9783712419394475
2023,td_attempt_rate,count,division_age,9590,854,poisson_deviance,mae,2.498802599272801,1.985224373353534
2023,td_attempt_rate,count,division_age_height,9590,854,poisson_deviance,mae,2.4826886116930598,1.976203826019193
2023,td_attempt_rate,count,division_age_reach,9590,854,poisson_deviance,mae,2.498907582060862,1.9834378926602914
2023,td_attempt_rate,count,division_age_ape,9590,854,poisson_deviance,mae,2.498468855218844,1.985174807810243
2023,td_attempt_rate,count,division_age_height_reach,9590,854,poisson_deviance,mae,2.484589029095147,1.9760446005353556
2023,td_attempt_rate,count,division_age_height_reach_tanh,9590,854,poisson_deviance,mae,2.4841800449881135,1.9759741823119357
2023,td_completion,binomial,fsr_raw,6273,568,attempt_log_loss,attempt_brier,0.6381254448773584,0.22331218796140953
2023,td_completion,binomial,fsr_calibrated,6273,568,attempt_log_loss,attempt_brier,0.6375720750610976,0.22306037734539305
2023,td_completion,binomial,division_age,6273,568,attempt_log_loss,attempt_brier,0.6386141274278718,0.22360248726375387
2023,td_completion,binomial,division_age_height,6273,568,attempt_log_loss,attempt_brier,0.6388503154760288,0.22371918356233877
2023,td_completion,binomial,division_age_reach,6273,568,attempt_log_loss,attempt_brier,0.6385208786746753,0.22356156247364115
2023,td_completion,binomial,division_age_ape,6273,568,attempt_log_loss,attempt_brier,0.6383926297952999,0.22352322199339425
2023,td_completion,binomial,division_age_height_reach,6273,568,attempt_log_loss,attempt_brier,0.6386116239583507,0.22362912592441814
2023,td_completion,binomial,division_age_height_reach_tanh,6273,568,attempt_log_loss,attempt_brier,0.6386803000220385,0.22364301883222873
2023,ground_attempt_rate,count,fsr_raw,9590,854,poisson_deviance,mae,9.581101286029016,6.041704557715536
2023,ground_attempt_rate,count,fsr_calibrated,9590,854,poisson_deviance,mae,9.563631687322705,6.008026594174034
2023,ground_attempt_rate,count,division_age,9590,854,poisson_deviance,mae,9.530137541276977,6.0353072342970036
2023,ground_attempt_rate,count,division_age_height,9590,854,poisson_deviance,mae,9.53548479777473,6.043146028195139
2023,ground_attempt_rate,count,division_age_reach,9590,854,poisson_deviance,mae,9.533402268495447,6.037266531913697
2023,ground_attempt_rate,count,division_age_ape,9590,854,poisson_deviance,mae,9.526984679981735,6.035604954318346
2023,ground_attempt_rate,count,division_age_height_reach,9590,854,poisson_deviance,mae,9.53301939294691,6.0428979186762275
2023,ground_attempt_rate,count,division_age_height_reach_tanh,9590,854,poisson_deviance,mae,9.522717391809225,6.041780032771973
2023,ground_accuracy,binomial,fsr_raw,5787,446,attempt_log_loss,attempt_brier,0.598597849867662,0.20437639443437108
2023,ground_accuracy,binomial,fsr_calibrated,5787,446,attempt_log_loss,attempt_brier,0.5988524127505235,0.20449103813423175
2023,ground_accuracy,binomial,division_age,5787,446,attempt_log_loss,attempt_brier,0.5983007594632493,0.20427589790232265
2023,ground_accuracy,binomial,division_age_height,5787,446,attempt_log_loss,attempt_brier,0.5982456490899212,0.20425421370229527
2023,ground_accuracy,binomial,division_age_reach,5787,446,attempt_log_loss,attempt_brier,0.598251471347403,0.20425390781119052
2023,ground_accuracy,binomial,division_age_ape,5787,446,attempt_log_loss,attempt_brier,0.5983091715370041,0.20427751869261473
2023,ground_accuracy,binomial,division_age_height_reach,5787,446,attempt_log_loss,attempt_brier,0.5982458521305166,0.2042518647377682
2023,ground_accuracy,binomial,division_age_height_reach_tanh,5787,446,attempt_log_loss,attempt_brier,0.5982294226087999,0.20424640009034034
