fold,mechanic,kind,variant,term,beta,se,pvalue,effect_ratio_per_inch,effect_ratio_at_plus4_inches
2022,ground_attempt_rate,count,division_age_reach,reach_edge,0.0005743512776743201,0.0004904858784239777,0.24160507590302283,1.0005745162489517,1.0023000461679574
2022,ground_attempt_rate,count,division_age_height_reach,reach_edge,-0.0011250534094833214,0.0006320089214315973,0.0750558870548567,0.998875579225832,0.9955098971508709
2022,ground_attempt_rate,count,division_age_height_reach_tanh,reach_tanh,-0.016760672275708578,0.006218204768016845,0.007029999815801224,,0.9873162948393981
2022,ground_accuracy,binomial,division_age_reach,reach_edge,0.002192830861351735,0.0010962677160850371,0.04547117208063606,1.0021952368732827,1.008809904221889
2022,ground_accuracy,binomial,division_age_height_reach,reach_edge,0.0014440321032622193,0.0014148189747187228,0.30742125726993363,1.0014450752196573,1.005792842408002
2022,ground_accuracy,binomial,division_age_height_reach_tanh,reach_tanh,0.011434164583876322,0.013812865419052122,0.4077889173826771,,1.008746219538208
2023,distance_attempt_rate,count,division_age_reach,reach_edge,0.003064700498282622,0.00014703196943586277,1.7361461914052696e-96,1.0030694014940094,1.01233424908808
2023,distance_attempt_rate,count,division_age_height_reach,reach_edge,0.0019678446982951685,0.00018372899882376155,9.078822229281064e-27,1.0019697821753497,1.0079024395387122
2023,distance_attempt_rate,count,division_age_height_reach_tanh,reach_tanh,0.015657346237166334,0.001776986104135905,1.2383420755601007e-18,,1.0119959242052563
2023,distance_accuracy,binomial,division_age_reach,reach_edge,-0.0007049895188968482,0.0003048266770328791,0.020736095605045562,0.9992952589278264,0.9971840142713587
2023,distance_accuracy,binomial,division_age_height_reach,reach_edge,-0.0004444670681799082,0.00037769044297271344,0.23927433328412817,0.9995556316926749,0.9982237111989084
2023,distance_accuracy,binomial,division_age_height_reach_tanh,reach_tanh,-0.00400516318215784,0.003645639640471344,0.2719349801907013,,0.9969543385923276
2023,td_attempt_rate,count,division_age_reach,reach_edge,-0.005651951562983554,0.0007469438784355637,3.826222750240808e-14,0.9943639906662082,0.9776458351787307
2023,td_attempt_rate,count,division_age_height_reach,reach_edge,-0.0015383434346608474,0.0009409384662985219,0.10206931368475648,0.9984628392090855,0.9938655194933046
2023,td_attempt_rate,count,division_age_height_reach_tanh,reach_tanh,-0.020241980064302924,0.009130478292883215,0.026625264369018763,,0.9847020471997641
2023,td_completion,binomial,division_age_reach,reach_edge,0.0010463258618619172,0.0015793663623452582,0.5076526006958761,1.0010468734517357,1.0041940740615463
2023,td_completion,binomial,division_age_height_reach,reach_edge,0.0054687126268677085,0.0019994366882052556,0.006235627359916637,1.0054836933317055,1.02211585918463
2023,td_completion,binomial,division_age_height_reach_tanh,reach_tanh,0.04219472873658553,0.019413716036175685,0.029746513081649845,,1.0326571718477229
2023,ground_attempt_rate,count,division_age_reach,reach_edge,0.0006426028541820845,0.00046777768288353103,0.1695237816797317,1.0006428093676292,1.0025737177564316
2023,ground_attempt_rate,count,division_age_height_reach,reach_edge,-0.0008006928210038372,0.0005997653430193125,0.18187302421538165,0.9991996276479549,0.9968023521167804
2023,ground_attempt_rate,count,division_age_height_reach_tanh,reach_tanh,-0.020389035216434342,0.005903303336615658,0.0005526755669518291,,0.9845917703455066
2023,ground_accuracy,binomial,division_age_reach,reach_edge,0.001717351310162957,0.001050903867396045,0.1022240113882324,1.0017188268024495,1.0068930537241583
2023,ground_accuracy,binomial,division_age_height_reach,reach_edge,0.0015931524023577164,0.0013495886909197902,0.23781232208683245,1.001594422143854,1.0063929578869604
2023,ground_accuracy,binomial,division_age_height_reach_tanh,reach_tanh,0.015274102177923729,0.013145032079838427,0.24524860128352122,,1.0117005895445417
