fight_id,path,side,fighter_name,duration,target_control,realized_control,free_seconds,sim_distance_attempted,sim_distance_landed,sim_clinch_attempted,sim_clinch_landed,sim_ground_attempted,sim_ground_landed,sim_td_attempted,sim_td_landed,sim_standing_attempted,sim_standing_landed,sim_qualified_control_inflicted_seconds
41cdbcc0f3635b8f,9,red,Christian Rodriguez,900.0,500.0,500.0,399.9999999999999,111.0,52.0,0.0,0.0,69.0,49.0,0.0,0.0,111.0,52.0,0.0
41cdbcc0f3635b8f,9,blue,Melquizael Costa,900.0,500.0,500.0,399.9999999999999,104.0,45.0,13.0,10.0,20.0,14.0,7.0,1.0,117.0,55.0,500.0
41cdbcc0f3635b8f,10,red,Christian Rodriguez,900.0,800.0,800.0,99.99999999999925,41.0,17.0,5.0,5.0,10.0,5.0,0.0,0.0,46.0,22.0,790.0
41cdbcc0f3635b8f,10,blue,Melquizael Costa,900.0,800.0,800.0,99.99999999999925,16.0,7.0,9.0,6.0,0.0,0.0,5.0,1.0,25.0,13.0,10.0
41cdbcc0f3635b8f,11,red,Christian Rodriguez,900.0,750.0,750.0,150.0,59.0,19.0,0.0,0.0,15.0,10.0,5.0,5.0,59.0,19.0,740.0
41cdbcc0f3635b8f,11,blue,Melquizael Costa,900.0,750.0,750.0,150.0,87.0,43.0,3.0,2.0,0.0,0.0,6.0,1.0,90.0,45.0,10.0
41cdbcc0f3635b8f,12,red,Christian Rodriguez,900.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
41cdbcc0f3635b8f,12,blue,Melquizael Costa,900.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0
41cdbcc0f3635b8f,13,red,Christian Rodriguez,900.0,440.0,439.4343396204715,460.56566037952797,50.0,30.0,12.0,7.0,6.0,2.0,18.0,12.0,62.0,37.0,419.4343396204715
41cdbcc0f3635b8f,13,blue,Melquizael Costa,900.0,440.0,439.4343396204715,460.56566037952797,152.0,75.0,24.0,19.0,0.0,0.0,15.0,5.0,176.0,94.0,20.0
41cdbcc0f3635b8f,14,red,Christian Rodriguez,900.0,290.0,290.0,609.9999999999998,161.0,70.0,38.0,27.0,18.0,12.0,12.0,8.0,199.0,97.0,20.0
41cdbcc0f3635b8f,14,blue,Melquizael Costa,900.0,290.0,290.0,609.9999999999998,272.0,111.0,10.0,8.0,0.0,0.0,20.0,7.0,282.0,119.0,270.0
41cdbcc0f3635b8f,15,red,Christian Rodriguez,900.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0
41cdbcc0f3635b8f,15,blue,Melquizael Costa,900.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
41cdbcc0f3635b8f,16,red,Christian Rodriguez,900.0,400.0,400.0,500.0000000000001,183.0,94.0,7.0,6.0,45.0,29.0,1.0,1.0,190.0,100.0,200.0
41cdbcc0f3635b8f,16,blue,Melquizael Costa,900.0,400.0,400.0,500.0000000000001,108.0,44.0,19.0,14.0,2.0,2.0,22.0,9.0,127.0,58.0,200.0
