fight_id,red_name,blue_name,winner_name,method,variant,actual_red_win,predicted_red_win,red_rounds,blue_rounds,tied_rounds,correct
d3be5a4e0ec273e2,Yair Rodriguez,Patricio Freire,Yair Rodriguez,Decision - Unanimous,SIG_KD,1,1.0,3,0,0,True
d3be5a4e0ec273e2,Yair Rodriguez,Patricio Freire,Yair Rodriguez,Decision - Unanimous,SIG_KD_TD,1,1.0,3,0,0,True
d3be5a4e0ec273e2,Yair Rodriguez,Patricio Freire,Yair Rodriguez,Decision - Unanimous,SIG_KD_TD_CTRL,1,1.0,3,0,0,True
d3be5a4e0ec273e2,Yair Rodriguez,Patricio Freire,Yair Rodriguez,Decision - Unanimous,OLD_FULL,1,1.0,3,0,0,True
d3be5a4e0ec273e2,Yair Rodriguez,Patricio Freire,Yair Rodriguez,Decision - Unanimous,DAMAGE_FIRST,1,1.0,3,0,0,True
e733f148060bef2a,Alexander Volkanovski,Diego Lopes,Alexander Volkanovski,Decision - Unanimous,SIG_ONLY,1,1.0,5,0,0,True
e733f148060bef2a,Alexander Volkanovski,Diego Lopes,Alexander Volkanovski,Decision - Unanimous,SIG_KD,1,1.0,4,1,0,True
e733f148060bef2a,Alexander Volkanovski,Diego Lopes,Alexander Volkanovski,Decision - Unanimous,SIG_KD_TD,1,1.0,4,1,0,True
e733f148060bef2a,Alexander Volkanovski,Diego Lopes,Alexander Volkanovski,Decision - Unanimous,SIG_KD_TD_CTRL,1,1.0,4,1,0,True
e733f148060bef2a,Alexander Volkanovski,Diego Lopes,Alexander Volkanovski,Decision - Unanimous,OLD_FULL,1,1.0,4,1,0,True
e733f148060bef2a,Alexander Volkanovski,Diego Lopes,Alexander Volkanovski,Decision - Unanimous,DAMAGE_FIRST,1,1.0,4,1,0,True
fd98843926965cbd,Sumudaerji,Mitch Raposo,Sumudaerji,Decision - Split,SIG_ONLY,1,1.0,3,0,0,True
fd98843926965cbd,Sumudaerji,Mitch Raposo,Sumudaerji,Decision - Split,SIG_KD,1,1.0,3,0,0,True
fd98843926965cbd,Sumudaerji,Mitch Raposo,Sumudaerji,Decision - Split,SIG_KD_TD,1,1.0,3,0,0,True
fd98843926965cbd,Sumudaerji,Mitch Raposo,Sumudaerji,Decision - Split,SIG_KD_TD_CTRL,1,1.0,2,1,0,True
fd98843926965cbd,Sumudaerji,Mitch Raposo,Sumudaerji,Decision - Split,OLD_FULL,1,1.0,2,1,0,True
fd98843926965cbd,Sumudaerji,Mitch Raposo,Sumudaerji,Decision - Split,DAMAGE_FIRST,1,1.0,3,0,0,True
4072abf0b0c179f2,Giga Chikadze,David Onama,David Onama,Decision - Unanimous,SIG_ONLY,0,0.0,1,2,0,True
4072abf0b0c179f2,Giga Chikadze,David Onama,David Onama,Decision - Unanimous,SIG_KD,0,0.0,1,2,0,True
4072abf0b0c179f2,Giga Chikadze,David Onama,David Onama,Decision - Unanimous,SIG_KD_TD,0,0.0,1,2,0,True
4072abf0b0c179f2,Giga Chikadze,David Onama,David Onama,Decision - Unanimous,SIG_KD_TD_CTRL,0,0.0,1,2,0,True
4072abf0b0c179f2,Giga Chikadze,David Onama,David Onama,Decision - Unanimous,OLD_FULL,0,0.0,1,2,0,True
