fight_id,path,side,fighter_name,duration,control_hit_cap,final_td_control_shift,sim_distance_attempted,sim_distance_landed,sim_clinch_attempted,sim_clinch_landed,sim_ground_attempted,sim_ground_landed,sim_td_attempted,sim_td_landed,sim_qualified_control_inflicted_seconds
41cdbcc0f3635b8f,10,blue,Melquizael Costa,900.0,0.0,-1.1102230246251565e-16,78.0,30.0,9.0,4.0,7.0,6.0,18.0,3.0,90.0
41cdbcc0f3635b8f,11,red,Christian Rodriguez,900.0,0.0,0.0,156.0,79.0,4.0,3.0,9.0,8.0,2.0,1.0,140.0
41cdbcc0f3635b8f,11,blue,Melquizael Costa,900.0,0.0,0.0,42.0,14.0,8.0,7.0,31.0,18.0,3.0,1.0,150.0
41cdbcc0f3635b8f,12,red,Christian Rodriguez,900.0,0.0,-0.6938396217551095,85.0,38.0,0.0,0.0,3.0,1.0,0.0,0.0,220.0
41cdbcc0f3635b8f,12,blue,Melquizael Costa,900.0,0.0,-0.6938396217551095,88.0,47.0,18.0,13.0,16.0,10.0,18.0,2.0,400.0
41cdbcc0f3635b8f,13,red,Christian Rodriguez,900.0,0.0,-1.7345990543877736,95.0,46.0,0.0,0.0,1.0,1.0,0.0,0.0,30.0
41cdbcc0f3635b8f,13,blue,Melquizael Costa,900.0,0.0,-1.7345990543877736,236.0,116.0,1.0,0.0,11.0,8.0,16.0,5.0,10.0
41cdbcc0f3635b8f,14,red,Christian Rodriguez,900.0,0.0,0.34691981087755475,51.0,26.0,14.0,12.0,1.0,0.0,5.0,4.0,320.0
41cdbcc0f3635b8f,14,blue,Melquizael Costa,900.0,0.0,0.34691981087755475,35.0,16.0,1.0,0.0,12.0,8.0,7.0,3.0,580.0
41cdbcc0f3635b8f,15,red,Christian Rodriguez,900.0,0.0,-1.387679243510219,132.0,53.0,13.0,11.0,0.0,0.0,5.0,2.0,260.0
41cdbcc0f3635b8f,15,blue,Melquizael Costa,900.0,0.0,-1.387679243510219,33.0,10.0,8.0,6.0,0.0,0.0,24.0,6.0,640.0
41cdbcc0f3635b8f,16,red,Christian Rodriguez,900.0,0.0,-1.0407594326326643,84.0,35.0,3.0,2.0,0.0,0.0,0.0,0.0,320.0
41cdbcc0f3635b8f,16,blue,Melquizael Costa,900.0,0.0,-1.0407594326326643,55.0,27.0,25.0,17.0,0.0,0.0,11.0,3.0,530.0
41cdbcc0f3635b8f,17,red,Christian Rodriguez,900.0,0.0,-1.387679243510219,87.0,47.0,4.0,4.0,8.0,5.0,3.0,1.0,310.0
41cdbcc0f3635b8f,17,blue,Melquizael Costa,900.0,0.0,-1.387679243510219,64.0,32.0,1.0,0.0,19.0,15.0,9.0,5.0,220.0
41cdbcc0f3635b8f,18,red,Christian Rodriguez,900.0,0.0,0.6938396217551094,41.0,24.0,14.0,10.0,16.0,14.0,14.0,8.0,230.0
