fight_id,path,side,fighter_name,duration,sim_standing_attempted,sim_standing_landed,sim_td_attempted,sim_td_landed,sim_ground_attempted,sim_ground_landed,sim_control,sim_total_control,sim_free_seconds
41cdbcc0f3635b8f,9,red,Christian Rodriguez,900.0,10,6,6,5,1,1,500.0,830.0,70.0
41cdbcc0f3635b8f,9,blue,Melquizael Costa,900.0,16,8,11,3,14,11,330.0,830.0,70.0
41cdbcc0f3635b8f,10,red,Christian Rodriguez,900.0,0,0,11,6,0,0,820.0,900.0,0.0
41cdbcc0f3635b8f,10,blue,Melquizael Costa,900.0,0,0,6,4,30,25,80.0,900.0,0.0
41cdbcc0f3635b8f,11,red,Christian Rodriguez,900.0,92,45,7,5,116,78,480.0,490.0,410.0
41cdbcc0f3635b8f,11,blue,Melquizael Costa,900.0,66,34,0,0,13,7,10.0,490.0,410.0
41cdbcc0f3635b8f,12,red,Christian Rodriguez,900.0,83,32,8,4,0,0,0.0,540.0,360.0
41cdbcc0f3635b8f,12,blue,Melquizael Costa,900.0,62,24,30,11,8,3,540.0,540.0,360.0
41cdbcc0f3635b8f,13,red,Christian Rodriguez,900.0,27,19,4,2,3,2,690.0,710.0,190.0
41cdbcc0f3635b8f,13,blue,Melquizael Costa,900.0,29,13,12,2,0,0,20.0,710.0,190.0
41cdbcc0f3635b8f,14,red,Christian Rodriguez,900.0,30,19,2,2,19,15,740.0,740.0,160.0
41cdbcc0f3635b8f,14,blue,Melquizael Costa,900.0,23,11,9,1,2,1,0.0,740.0,160.0
41cdbcc0f3635b8f,15,red,Christian Rodriguez,900.0,0,0,0,0,30,22,0.0,900.0,0.0
41cdbcc0f3635b8f,15,blue,Melquizael Costa,900.0,0,0,18,9,0,0,900.0,900.0,0.0
41cdbcc0f3635b8f,16,red,Christian Rodriguez,900.0,82,39,5,4,9,7,0.0,580.0,320.0
41cdbcc0f3635b8f,16,blue,Melquizael Costa,900.0,84,34,27,11,0,0,580.0,580.0,320.0
41cdbcc0f3635b8f,17,red,Christian Rodriguez,900.0,52,23,0,0,11,8,470.0,540.0,360.0
41cdbcc0f3635b8f,17,blue,Melquizael Costa,900.0,80,39,5,2,3,1,70.0,540.0,360.0
41cdbcc0f3635b8f,18,red,Christian Rodriguez,900.0,66,31,8,5,0,0,380.0,500.0,400.0
41cdbcc0f3635b8f,18,blue,Melquizael Costa,900.0,109,54,21,6,0,0,120.0,500.0,400.0
41cdbcc0f3635b8f,19,red,Christian Rodriguez,900.0,116,61,10,4,44,30,10.0,510.0,390.0
41cdbcc0f3635b8f,19,blue,Melquizael Costa,900.0,76,35,34,11,0,0,500.0,510.0,390.0
55376d5c205fa844,0,red,David Martinez,278.0,68,31,1,1,0,0,60.0,70.0,208.0
55376d5c205fa844,0,blue,Saimon Oliveira,278.0,26,12,2,1,0,0,10.0,70.0,208.0
55376d5c205fa844,1,red,David Martinez,278.0,47,27,2,1,0,0,10.0,20.0,258.0
55376d5c205fa844,1,blue,Saimon Oliveira,278.0,35,11,7,2,0,0,10.0,20.0,258.0
55376d5c205fa844,2,red,David Martinez,278.0,36,18,1,1,0,0,10.0,60.0,218.0
55376d5c205fa844,2,blue,Saimon Oliveira,278.0,37,19,1,0,0,0,50.0,60.0,218.0
55376d5c205fa844,3,red,David Martinez,278.0,42,19,1,0,15,10,50.0,80.0,198.0
55376d5c205fa844,3,blue,Saimon Oliveira,278.0,34,10,1,1,1,1,30.0,80.0,198.0
55376d5c205fa844,4,red,David Martinez,278.0,78,35,2,1,9,8,10.0,90.0,188.0
55376d5c205fa844,4,blue,Saimon Oliveira,278.0,42,18,5,2,3,2,80.0,90.0,188.0
55376d5c205fa844,5,red,David Martinez,278.0,39,21,0,0,3,2,0.0,90.0,188.0
55376d5c205fa844,5,blue,Saimon Oliveira,278.0,30,19,2,0,0,0,90.0,90.0,188.0
55376d5c205fa844,6,red,David Martinez,278.0,45,20,0,0,0,0,70.0,70.0,208.0
55376d5c205fa844,6,blue,Saimon Oliveira,278.0,37,16,2,0,4,4,0.0,70.0,208.0
55376d5c205fa844,7,red,David Martinez,278.0,16,6,2,1,1,1,190.0,200.0,78.0
55376d5c205fa844,7,blue,Saimon Oliveira,278.0,8,3,1,1,1,1,10.0,200.0,78.0
55376d5c205fa844,8,red,David Martinez,278.0,33,14,1,0,1,0,140.0,150.0,128.0
55376d5c205fa844,8,blue,Saimon Oliveira,278.0,32,14,1,0,0,0,10.0,150.0,128.0
55376d5c205fa844,9,red,David Martinez,278.0,30,16,0,0,7,4,10.0,110.0,168.0
55376d5c205fa844,9,blue,Saimon Oliveira,278.0,36,13,1,0,0,0,100.0,110.0,168.0
55376d5c205fa844,10,red,David Martinez,278.0,22,8,0,0,0,0,170.0,220.0,58.0
55376d5c205fa844,10,blue,Saimon Oliveira,278.0,15,6,0,0,0,0,50.0,220.0,58.0
55376d5c205fa844,11,red,David Martinez,278.0,0,0,0,0,25,17,278.0,278.0,0.0
55376d5c205fa844,11,blue,Saimon Oliveira,278.0,0,0,0,0,5,3,0.0,278.0,0.0
55376d5c205fa844,12,red,David Martinez,278.0,8,3,0,0,2,1,200.0,200.0,78.0
55376d5c205fa844,12,blue,Saimon Oliveira,278.0,19,9,0,0,0,0,0.0,200.0,78.0
55376d5c205fa844,13,red,David Martinez,278.0,24,12,2,1,1,1,120.0,150.0,128.0
55376d5c205fa844,13,blue,Saimon Oliveira,278.0,30,11,1,1,0,0,30.0,150.0,128.0
55376d5c205fa844,14,red,David Martinez,278.0,59,33,1,0,14,9,10.0,60.0,218.0
55376d5c205fa844,14,blue,Saimon Oliveira,278.0,27,10,1,1,13,8,50.0,60.0,218.0
55376d5c205fa844,15,red,David Martinez,278.0,20,11,1,0,5,2,0.0,210.0,68.0
55376d5c205fa844,15,blue,Saimon Oliveira,278.0,15,8,1,1,0,0,210.0,210.0,68.0
55376d5c205fa844,16,red,David Martinez,278.0,54,24,6,5,6,4,0.0,0.0,278.0
55376d5c205fa844,16,blue,Saimon Oliveira,278.0,96,43,0,0,0,0,0.0,0.0,278.0
55376d5c205fa844,17,red,David Martinez,278.0,35,17,1,0,1,1,60.0,110.0,168.0
55376d5c205fa844,17,blue,Saimon Oliveira,278.0,50,24,1,0,0,0,50.0,110.0,168.0
55376d5c205fa844,18,red,David Martinez,278.0,8,3,1,1,0,0,60.0,150.0,128.0
55376d5c205fa844,18,blue,Saimon Oliveira,278.0,30,12,1,1,0,0,90.0,150.0,128.0
55376d5c205fa844,19,red,David Martinez,278.0,59,30,0,0,2,1,20.0,30.0,248.0
55376d5c205fa844,19,blue,Saimon Oliveira,278.0,46,19,1,0,1,1,10.0,30.0,248.0
5ba7dd466e30169f,0,red,Ronaldo Rodriguez,900.0,113,50,0,0,39,30,110.0,410.0,490.0
5ba7dd466e30169f,0,blue,Kevin Borjas,900.0,60,29,0,0,13,8,300.0,410.0,490.0
5ba7dd466e30169f,1,red,Ronaldo Rodriguez,900.0,74,38,5,2,0,0,80.0,220.0,680.0
5ba7dd466e30169f,1,blue,Kevin Borjas,900.0,94,44,0,0,19,12,140.0,220.0,680.0
5ba7dd466e30169f,2,red,Ronaldo Rodriguez,900.0,117,49,1,0,54,41,0.0,270.0,630.0
5ba7dd466e30169f,2,blue,Kevin Borjas,900.0,119,50,4,2,2,2,270.0,270.0,630.0
5ba7dd466e30169f,3,red,Ronaldo Rodriguez,900.0,33,19,3,1,0,0,10.0,540.0,360.0
5ba7dd466e30169f,3,blue,Kevin Borjas,900.0,90,39,6,4,0,0,530.0,540.0,360.0
5ba7dd466e30169f,4,red,Ronaldo Rodriguez,900.0,141,60,2,0,23,17,40.0,110.0,790.0
5ba7dd466e30169f,4,blue,Kevin Borjas,900.0,63,27,4,1,7,5,70.0,110.0,790.0
5ba7dd466e30169f,5,red,Ronaldo Rodriguez,900.0,122,52,2,0,0,0,0.0,0.0,900.0
5ba7dd466e30169f,5,blue,Kevin Borjas,900.0,125,59,0,0,0,0,0.0,0.0,900.0
5ba7dd466e30169f,6,red,Ronaldo Rodriguez,900.0,152,65,6,3,0,0,10.0,250.0,650.0
5ba7dd466e30169f,6,blue,Kevin Borjas,900.0,188,105,7,3,66,43,240.0,250.0,650.0
5ba7dd466e30169f,7,red,Ronaldo Rodriguez,900.0,97,44,0,0,18,14,130.0,200.0,700.0
5ba7dd466e30169f,7,blue,Kevin Borjas,900.0,152,82,0,0,0,0,70.0,200.0,700.0
5ba7dd466e30169f,8,red,Ronaldo Rodriguez,900.0,145,58,8,2,4,2,10.0,250.0,650.0
5ba7dd466e30169f,8,blue,Kevin Borjas,900.0,91,44,4,3,0,0,240.0,250.0,650.0
5ba7dd466e30169f,9,red,Ronaldo Rodriguez,900.0,56,24,6,2,0,0,580.0,590.0,310.0
5ba7dd466e30169f,9,blue,Kevin Borjas,900.0,77,31,0,0,2,2,10.0,590.0,310.0
5ba7dd466e30169f,10,red,Ronaldo Rodriguez,900.0,97,42,6,3,0,0,110.0,350.0,550.0
5ba7dd466e30169f,10,blue,Kevin Borjas,900.0,117,55,6,2,0,0,240.0,350.0,550.0
5ba7dd466e30169f,11,red,Ronaldo Rodriguez,900.0,13,8,0,0,0,0,780.0,800.0,100.0
5ba7dd466e30169f,11,blue,Kevin Borjas,900.0,19,7,0,0,0,0,20.0,800.0,100.0
5ba7dd466e30169f,12,red,Ronaldo Rodriguez,900.0,112,45,0,0,5,4,140.0,310.0,590.0
5ba7dd466e30169f,12,blue,Kevin Borjas,900.0,109,53,5,1,14,9,170.0,310.0,590.0
5ba7dd466e30169f,13,red,Ronaldo Rodriguez,900.0,114,46,21,11,77,52,280.0,280.0,620.0
5ba7dd466e30169f,13,blue,Kevin Borjas,900.0,84,39,4,2,7,6,0.0,280.0,620.0
5ba7dd466e30169f,14,red,Ronaldo Rodriguez,900.0,321,145,9,4,0,0,0.0,0.0,900.0
5ba7dd466e30169f,14,blue,Kevin Borjas,900.0,117,49,13,5,1,1,0.0,0.0,900.0
5ba7dd466e30169f,15,red,Ronaldo Rodriguez,900.0,109,41,5,2,19,9,200.0,230.0,670.0
5ba7dd466e30169f,15,blue,Kevin Borjas,900.0,147,78,3,1,4,3,30.0,230.0,670.0
5ba7dd466e30169f,16,red,Ronaldo Rodriguez,900.0,64,29,0,0,8,5,370.0,380.0,520.0
5ba7dd466e30169f,16,blue,Kevin Borjas,900.0,78,38,2,1,0,0,10.0,380.0,520.0
5ba7dd466e30169f,17,red,Ronaldo Rodriguez,900.0,68,26,9,5,21,13,330.0,330.0,570.0
5ba7dd466e30169f,17,blue,Kevin Borjas,900.0,112,58,3,2,0,0,0.0,330.0,570.0
5ba7dd466e30169f,18,red,Ronaldo Rodriguez,900.0,61,24,3,1,19,15,390.0,420.0,480.0
5ba7dd466e30169f,18,blue,Kevin Borjas,900.0,80,39,0,0,20,12,30.0,420.0,480.0
5ba7dd466e30169f,19,red,Ronaldo Rodriguez,900.0,186,78,8,3,0,0,40.0,140.0,760.0
5ba7dd466e30169f,19,blue,Kevin Borjas,900.0,75,33,0,0,0,0,100.0,140.0,760.0
7e3fc760b26b6ae4,0,red,Rafa Garcia,900.0,91,51,5,1,0,0,380.0,380.0,520.0
7e3fc760b26b6ae4,0,blue,Vinc Pichel,900.0,138,49,3,0,0,0,0.0,380.0,520.0
7e3fc760b26b6ae4,1,red,Rafa Garcia,900.0,82,36,8,5,6,2,140.0,140.0,760.0
7e3fc760b26b6ae4,1,blue,Vinc Pichel,900.0,117,49,5,1,2,2,0.0,140.0,760.0
7e3fc760b26b6ae4,2,red,Rafa Garcia,900.0,43,22,2,1,3,2,530.0,560.0,340.0
7e3fc760b26b6ae4,2,blue,Vinc Pichel,900.0,64,19,0,0,13,8,30.0,560.0,340.0
7e3fc760b26b6ae4,3,red,Rafa Garcia,900.0,158,72,7,5,0,0,0.0,0.0,900.0
7e3fc760b26b6ae4,3,blue,Vinc Pichel,900.0,161,67,5,2,43,28,0.0,0.0,900.0
7e3fc760b26b6ae4,4,red,Rafa Garcia,900.0,149,65,9,3,5,4,110.0,120.0,780.0
7e3fc760b26b6ae4,4,blue,Vinc Pichel,900.0,119,37,1,0,0,0,10.0,120.0,780.0
7e3fc760b26b6ae4,5,red,Rafa Garcia,900.0,171,85,3,2,20,18,90.0,220.0,680.0
7e3fc760b26b6ae4,5,blue,Vinc Pichel,900.0,80,29,5,1,17,15,130.0,220.0,680.0
7e3fc760b26b6ae4,6,red,Rafa Garcia,900.0,190,79,3,0,0,0,30.0,60.0,840.0
7e3fc760b26b6ae4,6,blue,Vinc Pichel,900.0,244,87,3,0,0,0,30.0,60.0,840.0
7e3fc760b26b6ae4,7,red,Rafa Garcia,900.0,130,55,4,4,1,1,30.0,230.0,670.0
7e3fc760b26b6ae4,7,blue,Vinc Pichel,900.0,214,81,20,4,0,0,200.0,230.0,670.0
7e3fc760b26b6ae4,8,red,Rafa Garcia,900.0,112,45,2,1,9,6,50.0,430.0,470.0
7e3fc760b26b6ae4,8,blue,Vinc Pichel,900.0,51,17,2,1,11,7,380.0,430.0,470.0
7e3fc760b26b6ae4,9,red,Rafa Garcia,900.0,109,57,5,4,3,3,270.0,310.0,590.0
7e3fc760b26b6ae4,9,blue,Vinc Pichel,900.0,205,78,7,2,0,0,40.0,310.0,590.0
7e3fc760b26b6ae4,10,red,Rafa Garcia,900.0,112,50,2,1,0,0,0.0,0.0,900.0
7e3fc760b26b6ae4,10,blue,Vinc Pichel,900.0,296,108,7,0,0,0,0.0,0.0,900.0
7e3fc760b26b6ae4,11,red,Rafa Garcia,900.0,102,43,13,7,2,2,300.0,320.0,580.0
7e3fc760b26b6ae4,11,blue,Vinc Pichel,900.0,88,26,6,2,2,2,20.0,320.0,580.0
7e3fc760b26b6ae4,12,red,Rafa Garcia,900.0,199,89,0,0,6,6,320.0,320.0,580.0
7e3fc760b26b6ae4,12,blue,Vinc Pichel,900.0,180,64,6,2,0,0,0.0,320.0,580.0
7e3fc760b26b6ae4,13,red,Rafa Garcia,900.0,142,58,2,0,3,2,210.0,350.0,550.0
7e3fc760b26b6ae4,13,blue,Vinc Pichel,900.0,122,45,0,0,0,0,140.0,350.0,550.0
7e3fc760b26b6ae4,14,red,Rafa Garcia,900.0,132,57,7,4,0,0,130.0,130.0,770.0
7e3fc760b26b6ae4,14,blue,Vinc Pichel,900.0,241,95,1,0,0,0,0.0,130.0,770.0
7e3fc760b26b6ae4,15,red,Rafa Garcia,900.0,109,58,10,5,1,1,80.0,290.0,610.0
7e3fc760b26b6ae4,15,blue,Vinc Pichel,900.0,119,47,2,1,17,14,210.0,290.0,610.0
7e3fc760b26b6ae4,16,red,Rafa Garcia,900.0,176,80,1,0,0,0,170.0,240.0,660.0
7e3fc760b26b6ae4,16,blue,Vinc Pichel,900.0,136,47,9,1,0,0,70.0,240.0,660.0
7e3fc760b26b6ae4,17,red,Rafa Garcia,900.0,149,62,2,1,2,2,80.0,140.0,760.0
7e3fc760b26b6ae4,17,blue,Vinc Pichel,900.0,298,104,1,0,0,0,60.0,140.0,760.0
7e3fc760b26b6ae4,18,red,Rafa Garcia,900.0,72,29,4,3,2,2,580.0,580.0,320.0
7e3fc760b26b6ae4,18,blue,Vinc Pichel,900.0,73,31,3,1,12,10,0.0,580.0,320.0
7e3fc760b26b6ae4,19,red,Rafa Garcia,900.0,76,33,3,2,7,4,10.0,270.0,630.0
