fight_id,path,side,fighter_name,duration,control_rescaled,sim_distance_attempted,sim_distance_landed,pred_distance_attempted,sim_clinch_attempted,sim_clinch_landed,pred_clinch_attempted,sim_ground_attempted,sim_ground_landed,pred_ground_attempted,sim_td_attempted,sim_td_landed,pred_td_attempted,sim_qualified_control_inflicted_seconds,pred_qualified_control_inflicted_seconds
33e301872e2b5680,1,red,Brandon Moreno,1500.0,0.0,165.0,68.0,202.46221170025842,3.0,1.0,7.21745120734849,7.0,7.0,8.855916805836525,2.0,1.0,7.034472215512766,2.1013551102177324e-08,190.72407027831784
33e301872e2b5680,1,blue,Steve Erceg,1500.0,0.0,92.0,35.0,247.14095243553996,0.0,0.0,8.688259940612927,0.0,0.0,6.6586645737692205,1.0,1.0,3.360993025623167,0.0016512478483935561,79.90318989837404
33e301872e2b5680,2,red,Brandon Moreno,1500.0,0.0,292.0,129.0,202.46221170025842,10.0,9.0,7.21745120734849,0.0,0.0,8.855916805836525,19.0,11.0,7.034472215512766,0.511880344373268,190.72407027831784
33e301872e2b5680,2,blue,Steve Erceg,1500.0,0.0,131.0,45.0,247.14095243553996,9.0,6.0,8.688259940612927,6.0,6.0,6.6586645737692205,1.0,0.0,3.360993025623167,0.0,79.90318989837404
33e301872e2b5680,3,red,Brandon Moreno,1500.0,0.0,101.0,40.0,202.46221170025842,1.0,0.0,7.21745120734849,0.0,0.0,8.855916805836525,0.0,0.0,7.034472215512766,4.046974448042012e-43,190.72407027831784
33e301872e2b5680,3,blue,Steve Erceg,1500.0,0.0,430.0,184.0,247.14095243553996,7.0,5.0,8.688259940612927,3.0,3.0,6.6586645737692205,7.0,2.0,3.360993025623167,0.16226776228356612,79.90318989837404
33e301872e2b5680,4,red,Brandon Moreno,1500.0,0.0,322.0,144.0,202.46221170025842,1.0,1.0,7.21745120734849,34.0,22.0,8.855916805836525,13.0,4.0,7.034472215512766,1499.780865597137,190.72407027831784
33e301872e2b5680,4,blue,Steve Erceg,1500.0,0.0,568.0,235.0,247.14095243553996,0.0,0.0,8.688259940612927,3.0,2.0,6.6586645737692205,2.0,1.0,3.360993025623167,0.0,79.90318989837404
33e301872e2b5680,5,red,Brandon Moreno,1500.0,0.0,64.0,41.0,202.46221170025842,2.0,2.0,7.21745120734849,1.0,1.0,8.855916805836525,11.0,4.0,7.034472215512766,0.0023241262798476114,190.72407027831784
33e301872e2b5680,5,blue,Steve Erceg,1500.0,0.0,388.0,161.0,247.14095243553996,4.0,3.0,8.688259940612927,9.0,6.0,6.6586645737692205,3.0,1.0,3.360993025623167,2.2716642788079045e-32,79.90318989837404
33e301872e2b5680,6,red,Brandon Moreno,1500.0,0.0,183.0,87.0,202.46221170025842,4.0,3.0,7.21745120734849,0.0,0.0,8.855916805836525,11.0,4.0,7.034472215512766,0.37438292149987495,190.72407027831784
33e301872e2b5680,6,blue,Steve Erceg,1500.0,0.0,239.0,88.0,247.14095243553996,14.0,7.0,8.688259940612927,16.0,13.0,6.6586645737692205,3.0,0.0,3.360993025623167,0.008784653891380879,79.90318989837404
33e301872e2b5680,7,red,Brandon Moreno,1500.0,0.0,169.0,69.0,202.46221170025842,15.0,10.0,7.21745120734849,0.0,0.0,8.855916805836525,10.0,4.0,7.034472215512766,0.0031049830708625636,190.72407027831784
33e301872e2b5680,7,blue,Steve Erceg,1500.0,0.0,168.0,65.0,247.14095243553996,1.0,1.0,8.688259940612927,8.0,5.0,6.6586645737692205,2.0,1.0,3.360993025623167,0.0,79.90318989837404
33e301872e2b5680,8,red,Brandon Moreno,1500.0,0.0,368.0,150.0,202.46221170025842,15.0,8.0,7.21745120734849,0.0,0.0,8.855916805836525,8.0,1.0,7.034472215512766,2.865882789800151e-09,190.72407027831784
33e301872e2b5680,8,blue,Steve Erceg,1500.0,0.0,342.0,127.0,247.14095243553996,1.0,1.0,8.688259940612927,0.0,0.0,6.6586645737692205,9.0,0.0,3.360993025623167,2.6872432702333598e-11,79.90318989837404
33e301872e2b5680,9,red,Brandon Moreno,1500.0,0.0,351.0,153.0,202.46221170025842,0.0,0.0,7.21745120734849,2.0,2.0,8.855916805836525,15.0,4.0,7.034472215512766,1494.4088874478111,190.72407027831784
33e301872e2b5680,9,blue,Steve Erceg,1500.0,0.0,186.0,68.0,247.14095243553996,0.0,0.0,8.688259940612927,16.0,16.0,6.6586645737692205,17.0,6.0,3.360993025623167,9.162898367757876e-44,79.90318989837404
33e301872e2b5680,10,red,Brandon Moreno,1500.0,0.0,230.0,91.0,202.46221170025842,20.0,16.0,7.21745120734849,0.0,0.0,8.855916805836525,4.0,2.0,7.034472215512766,2.532625258983464e-13,190.72407027831784
33e301872e2b5680,10,blue,Steve Erceg,1500.0,0.0,116.0,48.0,247.14095243553996,15.0,9.0,8.688259940612927,2.0,2.0,6.6586645737692205,3.0,1.0,3.360993025623167,1498.912804145527,79.90318989837404
33e301872e2b5680,11,red,Brandon Moreno,1500.0,0.0,199.0,79.0,202.46221170025842,3.0,2.0,7.21745120734849,0.0,0.0,8.855916805836525,13.0,3.0,7.034472215512766,4.143398250227796e-13,190.72407027831784
33e301872e2b5680,11,blue,Steve Erceg,1500.0,0.0,215.0,94.0,247.14095243553996,26.0,15.0,8.688259940612927,10.0,10.0,6.6586645737692205,9.0,1.0,3.360993025623167,0.0,79.90318989837404
33e301872e2b5680,12,red,Brandon Moreno,1500.0,0.0,225.0,100.0,202.46221170025842,1.0,0.0,7.21745120734849,0.0,0.0,8.855916805836525,19.0,7.0,7.034472215512766,2.3145936509437665e-11,190.72407027831784
