fight_id,event_date,year,red_fighter,blue_fighter,division,scheduled_rounds,actual_red_win,actual_method,actual_finish_round,actual_duration_seconds,historical_kd,historical_sub_attempts,red_win_probability,blue_win_probability,average_simulated_finish_time,simulated_nondecision_paths,simulated_finish_time_sum_seconds,simulated_total_kd,simulated_total_exposure_seconds,simulated_total_submission_attempts,simulated_paths_with_submission_attempt,simulated_total_path_count,simulated_standing_seconds,simulated_ground_seconds,kd_per_path,zero_kd_share,multi_kd_share,submission_attempts_per_path,ko_tko_probability,red_ko_tko_probability,blue_ko_tko_probability,sub_probability,red_sub_probability,blue_sub_probability,dec_probability,red_dec_probability,blue_dec_probability,sim_finish_r1_share,sim_finish_r1_count,sim_finish_r2_share,sim_finish_r2_count,sim_finish_r3_share,sim_finish_r3_count,sim_finish_r4_share,sim_finish_r4_count,sim_finish_r5_share,sim_finish_r5_count,red_td_attempts,red_td_completions,red_strike_attempts,red_strikes_landed,blue_td_attempts,blue_td_completions,blue_strike_attempts,blue_strikes_landed,simulated_strike_attempts_per_path,simulated_strikes_landed_per_path,simulated_takedown_attempts_per_path,simulated_takedowns_landed_per_path
4d607b6ddc77a34c,2020-03-07,2020,Alex Oliveira,Max Griffin,welterweight,3,1,DEC,3,900.0,0.0,0.0,0.56,0.44,271.8280241905978,9,2446.45221771538,15,16846.45221771538,4,4,25,13420.276238421695,3426.1759792936846,0.6,0.56,0.12,0.16,0.28,0.04,0.24,0.08,0.0,0.08,0.64,0.52,0.12,0.6666666666666666,6,0.1111111111111111,1,0.2222222222222222,2,0.0,0,0.0,0,3.8,1.48,79.28,32.04,2.4,1.2,59.96,26.84,139.24,58.879999999999995,6.199999999999999,2.6799999999999997
891470d896b1de5a,2020-03-07,2020,Beneil Dariush,Drakkar Klose,lightweight,3,1,KO_TKO,2,360.0,1.0,2.0,0.76,0.24,450.91651965874325,4,1803.666078634973,2,20703.666078634975,11,7,25,17796.39122868694,2907.2748499480367,0.08,0.92,0.0,0.44,0.08,0.04,0.04,0.08,0.08,0.0,0.84,0.64,0.2,0.5,2,0.0,0,0.5,2,0.0,0,0.0,0,2.84,1.2,96.92,40.8,3.36,0.92,84.08,32.6,181.0,73.4,6.199999999999999,2.12
b46f2f007b622bce,2020-03-07,2020,Israel Adesanya,Yoel Romero,middleweight,5,1,DEC,5,1500.0,0.0,0.0,0.84,0.16,364.56438588195124,3,1093.6931576458537,6,34093.69315764585,3,3,25,32039.839698466778,2053.8534591790776,0.24,0.76,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.88,0.84,0.04,0.3333333333333333,1,0.6666666666666666,2,0.0,0,0.0,0,0.0,0,0.76,0.12,153.52,65.0,10.72,2.08,115.64,47.6,269.16,112.6,11.48,2.2
d66a8591af39ca7b,2020-03-07,2020,Neil Magny,Li Jingliang,welterweight,3,1,DEC,3,900.0,0.0,0.0,0.44,0.56,378.5669173889699,8,3028.535339111759,17,18328.535339111757,3,3,25,15366.970052718176,2961.565286393585,0.68,0.56,0.16,0.12,0.32,0.12,0.2,0.0,0.0,0.0,0.68,0.32,0.36,0.625,5,0.125,1,0.25,2,0.0,0,0.0,0,3.24,1.52,102.28,39.36,2.2,0.96,93.72,39.08,196.0,78.44,5.44,2.48
5bba49d88db7430f,2020-03-14,2020,Johnny Walker,Nikita Krylov,light heavyweight,3,0,DEC,3,900.0,0.0,0.0,0.24,0.76,229.2341591995835,17,3896.9807063929193,15,11096.98070639292,10,7,25,9344.784840167771,1752.1958662251463,0.6,0.56,0.12,0.4,0.64,0.16,0.48,0.04,0.0,0.04,0.32,0.08,0.24,0.5882352941176471,10,0.35294117647058826,6,0.058823529411764705,1,0.0,0,0.0,0,2.16,0.8,42.92,19.6,1.56,0.56,63.8,24.92,106.72,44.52,3.72,1.36
5cee1d8f1e43d6f5,2020-03-14,2020,Demian Maia,Gilbert Burns,welterweight,3,0,KO_TKO,1,154.0,1.0,0.0,0.76,0.24,376.1105209403408,11,4137.215730343749,11,16737.215730343753,4,4,25,14440.899910706898,2296.3158196368536,0.44,0.56,0.0,0.16,0.32,0.32,0.0,0.12,0.08,0.04,0.56,0.36,0.2,0.5454545454545454,6,0.09090909090909091,1,0.36363636363636365,4,0.0,0,0.0,0,4.0,1.32,62.72,24.16,1.52,0.64,73.2,26.72,135.92000000000002,50.879999999999995,5.52,1.96
b3c74554c871fbf8,2020-03-14,2020,Jussier Formiga,Brandon Moreno,flyweight,3,0,DEC,3,900.0,0.0,1.0,0.32,0.68,697.4291896566863,1,697.4291896566863,5,22297.429189656687,4,4,25,20451.975269444232,1845.4539202124547,0.2,0.8,0.0,0.16,0.04,0.0,0.04,0.0,0.0,0.0,0.96,0.32,0.64,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,3.6,1.16,70.68,24.76,2.08,0.4,111.32,32.12,182.0,56.879999999999995,5.68,1.56
c26a3f4c08333886,2020-03-14,2020,Renato Moicano,Damir Hadzovic,lightweight,3,1,SUB,1,44.0,0.0,1.0,0.84,0.16,443.7176473059679,3,1331.1529419179037,4,21131.152941917902,13,10,25,18230.459587102432,2900.6933548154725,0.16,0.84,0.0,0.52,0.12,0.0,0.12,0.0,0.0,0.0,0.88,0.84,0.04,0.0,0,0.6666666666666666,2,0.3333333333333333,1,0.0,0,0.0,0,3.36,2.2,132.12,54.52,0.96,0.36,100.28,39.84,232.4,94.36000000000001,4.32,2.56
dc45c8d70e256749,2020-03-14,2020,Francisco Trinaldo,John Makdessi,lightweight,3,1,DEC,3,900.0,0.0,0.0,0.28,0.72,296.6646640335828,5,1483.323320167914,10,19483.323320167918,0,0,25,18886.130521102692,597.1927990652197,0.4,0.6,0.0,0.0,0.2,0.04,0.16,0.0,0.0,0.0,0.8,0.24,0.56,0.2,1,0.8,4,0.0,0,0.0,0,0.0,0,1.12,0.16,112.6,41.08,0.48,0.2,89.96,44.16,202.56,85.24,1.6,0.36
e0b323dae5bf4c90,2020-03-14,2020,Kevin Lee,Charles Oliveira,lightweight,5,0,SUB,3,628.0,0.0,2.0,0.48,0.52,489.405779769173,8,3915.246238153384,4,29415.246238153388,24,12,25,24429.802691281668,4985.443546871716,0.16,0.84,0.0,0.96,0.24,0.04,0.2,0.08,0.0,0.08,0.68,0.44,0.24,0.375,3,0.375,3,0.0,0,0.25,2,0.0,0,4.28,2.04,163.88,64.16,7.92,2.36,124.0,58.4,287.88,122.56,12.2,4.4
