event_date,red_fighter,blue_fighter,actual_winner,actual_side,actual_method,P_red_win,P_blue_win,P_red_DEC,P_red_KO_TKO,P_red_SUB,P_blue_DEC,P_blue_KO_TKO,P_blue_SUB,predicted_winner,predicted_winner_probability
2025-08-02,Neil Magny,Elizeu Zaleski dos Santos,Neil Magny,red,KO_TKO,0.1,0.9,0.1,0.0,0.0,0.2,0.7,0.0,Elizeu Zaleski dos Santos,0.9
2025-08-02,Nick Klein,Andrey Pulyaev,Andrey Pulyaev,blue,KO_TKO,0.7,0.3,0.6,0.1,0.0,0.2,0.1,0.0,Nick Klein,0.7
2025-08-02,Rafael Estevam,Felipe Bunes,Rafael Estevam,red,DEC,0.5,0.5,0.2,0.2,0.1,0.2,0.0,0.3,Rafael Estevam,0.5
2025-08-02,Karol Rosa,Nora Cornolle,Karol Rosa,red,DEC,0.5,0.5,0.5,0.0,0.0,0.2,0.1,0.2,Karol Rosa,0.5
2025-08-02,Piera Rodriguez,Ketlen Souza,Piera Rodriguez,red,DEC,0.9,0.0999999999999999,0.9,0.0,0.0,0.0,0.0,0.1,Piera Rodriguez,0.9
2025-08-02,Rinya Nakamura,Nathan Fletcher,Rinya Nakamura,red,KO_TKO,0.7,0.3,0.5,0.0,0.2,0.2,0.1,0.0,Rinya Nakamura,0.7
2025-08-09,Steve Erceg,Ode Osbourne,Steve Erceg,red,DEC,0.4,0.6,0.3,0.1,0.0,0.6,0.0,0.0,Ode Osbourne,0.6
2025-08-09,Julius Walker,Rafael Cerqueira,Julius Walker,red,DEC,0.9,0.0999999999999999,0.9,0.0,0.0,0.1,0.0,0.0,Julius Walker,0.9
2025-08-09,Iasmin Lucindo,Angela Hill,Iasmin Lucindo,red,DEC,0.4,0.6,0.4,0.0,0.0,0.5,0.1,0.0,Angela Hill,0.6
2025-08-09,Roman Dolidze,Anthony Hernandez,Anthony Hernandez,blue,SUB,0.5,0.5,0.1,0.3,0.1,0.3,0.1,0.1,Roman Dolidze,0.5
2025-08-09,Gabriella Fernandes,Julija Stoliarenko,Gabriella Fernandes,red,DEC,0.3,0.7,0.1,0.0,0.2,0.4,0.0,0.3,Julija Stoliarenko,0.7
2025-08-09,Eryk Anders,Christian Leroy Duncan,Christian Leroy Duncan,blue,KO_TKO,0.1,0.9,0.0,0.0,0.1,0.3,0.6,0.0,Christian Leroy Duncan,0.9
2025-08-09,Uros Medic,Gilbert Urbina,Uros Medic,red,KO_TKO,0.4,0.6,0.0,0.4,0.0,0.1,0.4,0.1,Gilbert Urbina,0.6
2025-08-09,Cody Brundage,Eric McConico,Eric McConico,blue,DEC,0.7,0.3,0.5,0.0,0.2,0.1,0.0,0.2,Cody Brundage,0.7
2025-08-09,Andre Fili,Christian Rodriguez,Andre Fili,red,DEC,0.3,0.7,0.2,0.0,0.1,0.7,0.0,0.0,Christian Rodriguez,0.7
2025-08-09,Elijah Smith,Toshiomi Kazama,Elijah Smith,red,KO_TKO,0.7,0.3,0.3,0.1,0.3,0.1,0.1,0.1,Elijah Smith,0.7
2025-08-09,Joselyne Edwards,Priscila Cachoeira,Joselyne Edwards,red,KO_TKO,0.9,0.0999999999999999,0.4,0.2,0.3,0.0,0.1,0.0,Joselyne Edwards,0.9
2025-08-09,Miles Johns,Jean Matsumoto,Jean Matsumoto,blue,DEC,0.2,0.8,0.2,0.0,0.0,0.7,0.1,0.0,Jean Matsumoto,0.8
2025-08-16,Dricus Du Plessis,Khamzat Chimaev,Khamzat Chimaev,blue,DEC,0.5,0.5,0.2,0.1,0.2,0.1,0.0,0.4,Dricus Du Plessis,0.5
2025-08-16,Chase Hooper,Alexander Hernandez,Alexander Hernandez,blue,KO_TKO,0.7,0.3,0.3,0.2,0.2,0.0,0.3,0.0,Chase Hooper,0.7
2025-08-16,Geoff Neal,Carlos Prates,Carlos Prates,blue,KO_TKO,0.7,0.3,0.5,0.1,0.1,0.2,0.1,0.0,Geoff Neal,0.7
2025-08-16,Gerald Meerschaert,Michal Oleksiejczuk,Michal Oleksiejczuk,blue,KO_TKO,0.5,0.5,0.0,0.0,0.5,0.3,0.2,0.0,Gerald Meerschaert,0.5
2025-08-16,Baisangur Susurkaev,Eric Nolan,Baisangur Susurkaev,red,SUB,0.5,0.5,0.3,0.1,0.1,0.4,0.0,0.1,Baisangur Susurkaev,0.5
2025-08-16,Alibi Idiris,Joseph Morales,Joseph Morales,blue,SUB,0.3,0.7,0.2,0.1,0.0,0.5,0.1,0.1,Joseph Morales,0.7
2025-08-16,Tim Elliott,Kai Asakura,Tim Elliott,red,SUB,0.8,0.1999999999999999,0.5,0.1,0.2,0.1,0.0,0.1,Tim Elliott,0.8
2025-08-16,Karine Silva,Dione Barbosa,Karine Silva,red,DEC,0.7,0.3,0.5,0.0,0.2,0.2,0.0,0.1,Karine Silva,0.7
2025-08-16,Jared Cannonier,Michael Page,Michael Page,blue,DEC,0.1,0.9,0.1,0.0,0.0,0.8,0.1,0.0,Michael Page,0.9
2025-08-16,Lerone Murphy,Aaron Pico,Lerone Murphy,red,KO_TKO,0.7999999999999999,0.2,0.7,0.1,0.0,0.2,0.0,0.0,Lerone Murphy,0.7999999999999999
